family,policy,baseline,n_pairs,mean_delta,median_delta,sd_delta,ci95_low,ci95_high,wins,losses,ties
balanced,spread,binpack,60,0.002600,0.000000,0.009276,0.000253,0.004947,12,5,43
balanced,tetris,binpack,60,0.002385,0.000000,0.009098,0.000083,0.004687,11,5,44
balanced,hybrid,binpack,60,0.002522,0.000000,0.009895,0.000018,0.005026,13,6,41
balanced,wmatch,binpack,60,0.000131,0.000000,0.002593,-0.000525,0.000787,3,4,53
balanced,d1_cheap,binpack,60,0.002281,0.000000,0.008938,0.000020,0.004543,12,6,42
balanced,d2_capacity,binpack,60,0.002919,0.000000,0.009069,0.000624,0.005214,13,4,43
cpu_heavy,spread,binpack,60,-0.000380,0.000000,0.008740,-0.002592,0.001831,8,12,40
cpu_heavy,tetris,binpack,60,-0.002309,0.000000,0.010645,-0.005002,0.000385,6,12,42
cpu_heavy,hybrid,binpack,60,-0.001834,0.000000,0.007786,-0.003804,0.000136,6,11,43
cpu_heavy,wmatch,binpack,60,-0.000101,0.000000,0.001308,-0.000432,0.000229,1,2,57
cpu_heavy,d1_cheap,binpack,60,-0.000002,0.000000,0.007299,-0.001849,0.001845,8,9,43
cpu_heavy,d2_capacity,binpack,60,-0.001150,0.000000,0.010549,-0.003819,0.001519,8,11,41
ram_heavy,spread,binpack,60,0.003585,0.000000,0.009820,0.001100,0.006070,15,4,41
ram_heavy,tetris,binpack,60,0.007044,0.000000,0.014418,0.003396,0.010692,18,1,41
ram_heavy,hybrid,binpack,60,0.008000,0.000000,0.015053,0.004191,0.011809,18,1,41
ram_heavy,wmatch,binpack,60,0.000432,0.000000,0.005038,-0.000842,0.001707,5,5,50
ram_heavy,d1_cheap,binpack,60,0.007753,0.000000,0.014045,0.004200,0.011307,19,1,40
ram_heavy,d2_capacity,binpack,60,0.008057,0.000000,0.014042,0.004504,0.011610,19,0,41
bimodal,spread,binpack,60,0.005112,0.000000,0.025189,-0.001261,0.011486,10,9,41
bimodal,tetris,binpack,60,0.016198,0.000000,0.027862,0.009148,0.023248,20,0,40
bimodal,hybrid,binpack,60,0.015019,0.000000,0.024995,0.008694,0.021343,20,0,40
bimodal,wmatch,binpack,60,-0.000040,0.000000,0.004213,-0.001106,0.001026,2,3,55
bimodal,d1_cheap,binpack,60,0.013783,0.000000,0.024199,0.007660,0.019906,20,0,40
bimodal,d2_capacity,binpack,60,0.013714,0.000000,0.023570,0.007750,0.019678,20,0,40
tiny_large,spread,binpack,60,0.008801,0.000000,0.021142,0.003451,0.014151,15,3,42
tiny_large,tetris,binpack,60,0.019294,0.000000,0.029830,0.011746,0.026842,20,0,40
tiny_large,hybrid,binpack,60,0.016942,0.000000,0.027167,0.010068,0.023816,20,0,40
tiny_large,wmatch,binpack,60,0.000492,0.000000,0.003382,-0.000363,0.001348,5,3,52
tiny_large,d1_cheap,binpack,60,0.016729,0.000000,0.027223,0.009841,0.023617,20,0,40
tiny_large,d2_capacity,binpack,60,0.017188,0.000000,0.027798,0.010154,0.024222,20,0,40
drift,spread,binpack,60,0.025742,0.000000,0.038915,0.015896,0.035589,20,0,40
drift,tetris,binpack,60,0.036681,0.000000,0.053843,0.023057,0.050306,20,0,40
drift,hybrid,binpack,60,0.033913,0.000000,0.050014,0.021258,0.046569,20,0,40
drift,wmatch,binpack,60,0.000421,0.000000,0.005584,-0.000992,0.001834,6,4,50
drift,d1_cheap,binpack,60,0.035229,0.000000,0.052084,0.022050,0.048408,20,0,40
drift,d2_capacity,binpack,60,0.036217,0.000000,0.053334,0.022721,0.049712,20,0,40
pred_error,spread,binpack,60,0.001796,0.000000,0.006167,0.000235,0.003356,13,4,43
pred_error,tetris,binpack,60,-0.000059,0.000000,0.008964,-0.002327,0.002210,8,8,44
pred_error,hybrid,binpack,60,0.000030,0.000000,0.007908,-0.001970,0.002031,8,6,46
pred_error,wmatch,binpack,60,-0.000179,0.000000,0.000971,-0.000425,0.000067,0,2,58
pred_error,d1_cheap,binpack,60,0.000764,0.000000,0.006982,-0.001003,0.002530,8,5,47
pred_error,d2_capacity,binpack,60,0.000121,0.000000,0.005796,-0.001346,0.001587,8,6,46
adversarial,spread,binpack,60,0.021544,0.000000,0.033844,0.012981,0.030108,20,0,40
adversarial,tetris,binpack,60,0.019258,0.000000,0.028618,0.012017,0.026499,20,0,40
adversarial,hybrid,binpack,60,0.018499,0.000000,0.027324,0.011585,0.025413,20,0,40
adversarial,wmatch,binpack,60,0.000320,0.000000,0.004293,-0.000766,0.001406,5,3,52
adversarial,d1_cheap,binpack,60,0.021245,0.000000,0.030980,0.013406,0.029084,20,0,40
adversarial,d2_capacity,binpack,60,0.022204,0.000000,0.032652,0.013942,0.030466,20,0,40
