family,policy,n_runs,mean_admission_rate,median_admission_rate,sd_admission_rate,mean_active_nodes
balanced,binpack,60,0.959722,1.000000,0.058693,22.783
balanced,spread,60,0.962323,1.000000,0.054332,30.000
balanced,tetris,60,0.962107,1.000000,0.054808,28.300
balanced,hybrid,60,0.962244,1.000000,0.054466,25.650
balanced,wmatch,60,0.959853,1.000000,0.058563,22.767
balanced,d1_cheap,60,0.962003,1.000000,0.054756,24.867
balanced,d2_capacity,60,0.962641,1.000000,0.053856,25.300
cpu_heavy,binpack,60,0.964514,1.000000,0.051025,22.717
cpu_heavy,spread,60,0.964134,1.000000,0.051465,30.000
cpu_heavy,tetris,60,0.962205,1.000000,0.054382,29.950
cpu_heavy,hybrid,60,0.962680,1.000000,0.053528,29.700
cpu_heavy,wmatch,60,0.964413,1.000000,0.051168,22.717
cpu_heavy,d1_cheap,60,0.964512,1.000000,0.050935,29.233
cpu_heavy,d2_capacity,60,0.963364,1.000000,0.052776,29.333
ram_heavy,binpack,60,0.963388,1.000000,0.053008,23.117
ram_heavy,spread,60,0.966973,1.000000,0.047509,30.000
ram_heavy,tetris,60,0.970431,1.000000,0.042343,28.717
ram_heavy,hybrid,60,0.971387,1.000000,0.041024,27.033
ram_heavy,wmatch,60,0.963820,1.000000,0.052192,23.133
ram_heavy,d1_cheap,60,0.971141,1.000000,0.041322,24.567
ram_heavy,d2_capacity,60,0.971445,1.000000,0.040845,24.833
bimodal,binpack,60,0.962142,1.000000,0.056499,22.933
bimodal,spread,60,0.967254,1.000000,0.047912,30.000
bimodal,tetris,60,0.978340,1.000000,0.031346,29.817
bimodal,hybrid,60,0.977160,1.000000,0.033134,28.483
bimodal,wmatch,60,0.962102,1.000000,0.056651,22.983
bimodal,d1_cheap,60,0.975925,1.000000,0.034933,27.717
bimodal,d2_capacity,60,0.975856,1.000000,0.034975,27.667
tiny_large,binpack,60,0.961649,1.000000,0.057488,22.683
tiny_large,spread,60,0.970449,1.000000,0.043917,30.000
tiny_large,tetris,60,0.980942,1.000000,0.028362,28.767
tiny_large,hybrid,60,0.978591,1.000000,0.031704,27.800
tiny_large,wmatch,60,0.962141,1.000000,0.056336,22.683
tiny_large,d1_cheap,60,0.978378,1.000000,0.031694,26.067
tiny_large,d2_capacity,60,0.978836,1.000000,0.031115,26.217
drift,binpack,60,0.914944,1.000000,0.121573,24.517
drift,spread,60,0.940687,1.000000,0.085435,30.000
drift,tetris,60,0.951626,1.000000,0.069480,29.750
drift,hybrid,60,0.948858,1.000000,0.073375,28.717
drift,wmatch,60,0.915366,1.000000,0.120950,24.433
drift,d1_cheap,60,0.950173,1.000000,0.071615,28.000
drift,d2_capacity,60,0.951161,1.000000,0.070209,28.133
pred_error,binpack,60,0.965255,1.000000,0.049919,22.767
pred_error,spread,60,0.967051,1.000000,0.047255,30.000
pred_error,tetris,60,0.965196,1.000000,0.050114,29.833
pred_error,hybrid,60,0.965286,1.000000,0.049879,29.467
pred_error,wmatch,60,0.965076,1.000000,0.050133,22.767
pred_error,d1_cheap,60,0.966019,1.000000,0.048768,28.750
pred_error,d2_capacity,60,0.965376,1.000000,0.049573,28.800
adversarial,binpack,60,0.928021,1.000000,0.102916,22.667
adversarial,spread,60,0.949565,1.000000,0.072579,30.000
adversarial,tetris,60,0.947279,1.000000,0.075563,30.000
adversarial,hybrid,60,0.946520,1.000000,0.076371,28.867
adversarial,wmatch,60,0.928341,1.000000,0.102459,22.683
adversarial,d1_cheap,60,0.949266,1.000000,0.072455,27.967
adversarial,d2_capacity,60,0.950225,1.000000,0.071019,28.083
