policy,n_runs,mean_admission_rate,median_admission_rate,sd_admission_rate,mean_active_nodes,mean_cpu_util,mean_ram_util,mean_free_imbalance,mean_stranded_frac
binpack,480,0.952454,1.000000,0.075214,23.023,0.683117,0.420688,0.380762,0.229867
spread,480,0.961054,1.000000,0.058359,30.000,0.665076,0.394177,0.391026,0.124937
tetris,480,0.964766,1.000000,0.053889,29.392,0.667764,0.413276,0.325430,0.081103
hybrid,480,0.964091,1.000000,0.054733,28.215,0.669533,0.423465,0.314279,0.087171
balance,480,0.960683,1.000000,0.058906,23.229,0.675313,0.424495,0.334735,0.166904
wmatch,480,0.952639,1.000000,0.074837,23.021,0.683169,0.420634,0.379847,0.228555
d1_cheap,480,0.964677,1.000000,0.053351,27.146,0.669269,0.426142,0.311910,0.090754
d2_capacity,480,0.964863,1.000000,0.052945,27.296,0.668154,0.424684,0.312340,0.088471
d1_cheap_nomad_ff,480,0.955816,1.000000,0.068940,23.069,0.682879,0.421586,0.377672,0.221120
d2_capacity_nomad_ff,480,0.955665,1.000000,0.069119,23.015,0.682141,0.421143,0.377246,0.222340
ff_only_cheap,480,0.955816,1.000000,0.068940,23.069,0.682879,0.421586,0.377672,0.221120
