family,policy,n_pairs,mean_delta,sd,ci95_low,ci95_high,wins,losses,ties
balanced,spread,60,0.00260,0.00928,0.00025,0.00495,12,5,43
balanced,tetris,60,0.00239,0.00910,0.00008,0.00469,11,5,44
balanced,hybrid,60,0.00252,0.00989,0.00002,0.00503,13,6,41
balanced,balance,60,0.00067,0.00255,0.00002,0.00131,7,2,51
balanced,wmatch,60,0.00013,0.00259,-0.00052,0.00079,3,4,53
balanced,d1_cheap,60,0.00228,0.00894,0.00002,0.00454,12,6,42
balanced,d2_capacity,60,0.00292,0.00907,0.00062,0.00521,13,4,43
balanced,d1_cheap_nomad_ff,60,0.00198,0.00436,0.00088,0.00309,14,1,45
balanced,d2_capacity_nomad_ff,60,0.00204,0.00427,0.00096,0.00312,15,2,43
balanced,ff_only_cheap,60,0.00198,0.00436,0.00088,0.00309,14,1,45
cpu_heavy,spread,60,-0.00038,0.00874,-0.00259,0.00183,8,12,40
cpu_heavy,tetris,60,-0.00231,0.01064,-0.00500,0.00038,6,12,42
cpu_heavy,hybrid,60,-0.00183,0.00779,-0.00380,0.00014,6,11,43
cpu_heavy,balance,60,0.00234,0.00718,0.00053,0.00416,13,4,43
cpu_heavy,wmatch,60,-0.00010,0.00131,-0.00043,0.00023,1,2,57
cpu_heavy,d1_cheap,60,-0.00000,0.00730,-0.00185,0.00184,8,9,43
cpu_heavy,d2_capacity,60,-0.00115,0.01055,-0.00382,0.00152,8,11,41
cpu_heavy,d1_cheap_nomad_ff,60,0.00137,0.00510,0.00008,0.00266,10,5,45
cpu_heavy,d2_capacity_nomad_ff,60,0.00019,0.00304,-0.00058,0.00096,4,3,53
cpu_heavy,ff_only_cheap,60,0.00137,0.00510,0.00008,0.00266,10,5,45
ram_heavy,spread,60,0.00359,0.00982,0.00110,0.00607,15,4,41
ram_heavy,tetris,60,0.00704,0.01442,0.00340,0.01069,18,1,41
ram_heavy,hybrid,60,0.00800,0.01505,0.00419,0.01181,18,1,41
ram_heavy,balance,60,0.00247,0.00610,0.00092,0.00401,14,3,43
ram_heavy,wmatch,60,0.00043,0.00504,-0.00084,0.00171,5,5,50
ram_heavy,d1_cheap,60,0.00775,0.01404,0.00420,0.01131,19,1,40
ram_heavy,d2_capacity,60,0.00806,0.01404,0.00450,0.01161,19,0,41
ram_heavy,d1_cheap_nomad_ff,60,0.00058,0.00251,-0.00005,0.00122,8,3,49
ram_heavy,d2_capacity_nomad_ff,60,0.00011,0.00352,-0.00079,0.00100,6,6,48
ram_heavy,ff_only_cheap,60,0.00058,0.00251,-0.00005,0.00122,8,3,49
bimodal,spread,60,0.00511,0.02519,-0.00126,0.01149,10,9,41
bimodal,tetris,60,0.01620,0.02786,0.00915,0.02325,20,0,40
bimodal,hybrid,60,0.01502,0.02499,0.00869,0.02134,20,0,40
bimodal,balance,60,0.00766,0.01851,0.00298,0.01235,16,3,41
bimodal,wmatch,60,-0.00004,0.00421,-0.00111,0.00103,2,3,55
bimodal,d1_cheap,60,0.01378,0.02420,0.00766,0.01991,20,0,40
bimodal,d2_capacity,60,0.01371,0.02357,0.00775,0.01968,20,0,40
bimodal,d1_cheap_nomad_ff,60,0.00034,0.00204,-0.00018,0.00085,3,1,56
bimodal,d2_capacity_nomad_ff,60,0.00104,0.00651,-0.00061,0.00269,7,3,50
bimodal,ff_only_cheap,60,0.00034,0.00204,-0.00018,0.00085,3,1,56
tiny_large,spread,60,0.00880,0.02114,0.00345,0.01415,15,3,42
tiny_large,tetris,60,0.01929,0.02983,0.01175,0.02684,20,0,40
tiny_large,hybrid,60,0.01694,0.02717,0.01007,0.02382,20,0,40
tiny_large,balance,60,0.00478,0.01001,0.00224,0.00731,15,2,43
tiny_large,wmatch,60,0.00049,0.00338,-0.00036,0.00135,5,3,52
tiny_large,d1_cheap,60,0.01673,0.02722,0.00984,0.02362,20,0,40
tiny_large,d2_capacity,60,0.01719,0.02780,0.01015,0.02422,20,0,40
tiny_large,d1_cheap_nomad_ff,60,0.00047,0.00364,-0.00045,0.00139,7,4,49
tiny_large,d2_capacity_nomad_ff,60,0.00003,0.00585,-0.00146,0.00151,8,5,47
tiny_large,ff_only_cheap,60,0.00047,0.00364,-0.00045,0.00139,7,4,49
drift,spread,60,0.02574,0.03891,0.01590,0.03559,20,0,40
drift,tetris,60,0.03668,0.05384,0.02306,0.05031,20,0,40
drift,hybrid,60,0.03391,0.05001,0.02126,0.04657,20,0,40
drift,balance,60,0.03120,0.04571,0.01964,0.04277,20,0,40
drift,wmatch,60,0.00042,0.00558,-0.00099,0.00183,6,4,50
drift,d1_cheap,60,0.03523,0.05208,0.02205,0.04841,20,0,40
drift,d2_capacity,60,0.03622,0.05333,0.02272,0.04971,20,0,40
drift,d1_cheap_nomad_ff,60,0.00325,0.00728,0.00141,0.00509,16,2,42
drift,d2_capacity_nomad_ff,60,0.00249,0.00906,0.00020,0.00479,11,5,44
drift,ff_only_cheap,60,0.00325,0.00728,0.00141,0.00509,16,2,42
pred_error,spread,60,0.00180,0.00617,0.00024,0.00336,13,4,43
pred_error,tetris,60,-0.00006,0.00896,-0.00233,0.00221,8,8,44
pred_error,hybrid,60,0.00003,0.00791,-0.00197,0.00203,8,6,46
pred_error,balance,60,0.00270,0.00611,0.00115,0.00424,15,2,43
pred_error,wmatch,60,-0.00018,0.00097,-0.00042,0.00007,0,2,58
pred_error,d1_cheap,60,0.00076,0.00698,-0.00100,0.00253,8,5,47
pred_error,d2_capacity,60,0.00012,0.00580,-0.00135,0.00159,8,6,46
pred_error,d1_cheap_nomad_ff,60,0.00038,0.00271,-0.00031,0.00106,7,4,49
pred_error,d2_capacity_nomad_ff,60,-0.00027,0.00318,-0.00107,0.00054,5,8,47
pred_error,ff_only_cheap,60,0.00038,0.00271,-0.00031,0.00106,7,4,49
adversarial,spread,60,0.02154,0.03384,0.01298,0.03011,20,0,40
adversarial,tetris,60,0.01926,0.02862,0.01202,0.02650,20,0,40
