family,cluster,load,policy,n,mean_delta,ci95_low,ci95_high,wins,losses
adversarial,hetero,high,balance,10,0.02478,0.00858,0.04097,9,1
adversarial,hetero,high,d1_cheap,10,0.05633,0.04752,0.06513,10,0
adversarial,hetero,high,d1_cheap_nomad_ff,10,0.04392,0.03535,0.05248,10,0
adversarial,hetero,high,d2_capacity,10,0.06208,0.04833,0.07583,10,0
adversarial,hetero,high,d2_capacity_nomad_ff,10,0.04128,0.02683,0.05574,10,0
adversarial,hetero,high,ff_only_cheap,10,0.04392,0.03535,0.05248,10,0
adversarial,hetero,high,hybrid,10,0.04775,0.03768,0.05783,10,0
adversarial,hetero,high,spread,10,0.04626,0.02918,0.06334,10,0
adversarial,hetero,high,tetris,10,0.06417,0.05111,0.07722,10,0
adversarial,hetero,high,wmatch,10,0.00192,-0.00583,0.00967,5,3
adversarial,hetero,low,balance,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,low,d1_cheap,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,low,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,low,d2_capacity,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,low,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,low,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,low,hybrid,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,low,spread,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,low,tetris,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,low,wmatch,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,med,balance,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,med,d1_cheap,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,med,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,med,d2_capacity,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,med,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,med,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,med,hybrid,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,med,spread,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,med,tetris,10,0.00000,0.00000,0.00000,0,0
adversarial,hetero,med,wmatch,10,0.00000,0.00000,0.00000,0,0
adversarial,homog,high,balance,10,0.05929,0.05929,0.05929,10,0
adversarial,homog,high,d1_cheap,10,0.07115,0.07115,0.07115,10,0
adversarial,homog,high,d1_cheap_nomad_ff,10,0.06719,0.06719,0.06719,10,0
adversarial,homog,high,d2_capacity,10,0.07115,0.07115,0.07115,10,0
adversarial,homog,high,d2_capacity_nomad_ff,10,0.07905,0.07905,0.07905,10,0
adversarial,homog,high,ff_only_cheap,10,0.06719,0.06719,0.06719,10,0
adversarial,homog,high,hybrid,10,0.06324,0.06324,0.06324,10,0
adversarial,homog,high,spread,10,0.08300,0.08300,0.08300,10,0
adversarial,homog,high,tetris,10,0.05138,0.05138,0.05138,10,0
adversarial,homog,high,wmatch,10,0.00000,0.00000,0.00000,0,0
adversarial,homog,low,balance,10,0.00000,0.00000,0.00000,0,0
adversarial,homog,low,d1_cheap,10,0.00000,0.00000,0.00000,0,0
adversarial,homog,low,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
adversarial,homog,low,d2_capacity,10,0.00000,0.00000,0.00000,0,0
adversarial,homog,low,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
adversarial,homog,low,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
