split,family,cluster_config,load,policy,seed,submitted,placed,rejected,admission_rate,mean_cpu_util,mean_ram_util,active_nodes,free_imbalance,stranded_frac,decisions_per_sec,mean_latency_us,p95_latency_us,params
test,adversarial,homog,high,binpack,1000,253,197,56,0.7786561264822134,0.9946180555555556,0.6042708333333333,30,0.39034722222222223,0.24934895833333334,26789.632137054487,37.32787351778656,99.396,{}
test,adversarial,homog,high,spread,1000,253,218,35,0.8616600790513834,0.998263888888889,0.6239583333333333,30,0.37430555555555556,0.23567708333333334,18500.178128197313,54.053533596837944,92.213,{}
test,adversarial,homog,high,tetris,1000,253,210,43,0.8300395256916996,0.9625,0.613125,30,0.349375,0.255859375,15112.506638601606,66.17035968379446,94.387,{}
test,adversarial,homog,high,hybrid,1000,253,213,40,0.841897233201581,0.9942708333333333,0.6190625,30,0.3752083333333333,0.240234375,15454.092549123858,64.70777865612648,110.747,"{'family': 'hybrid', 'alpha': 0.1}"
test,adversarial,homog,high,balance,1000,253,212,41,0.8379446640316206,0.9946180555555556,0.6230208333333334,30,0.37159722222222225,0.23763020833333334,21155.002957519584,47.27014229249012,94.056,"{'family': 'balance', 'lam': 0.8}"
test,adversarial,homog,high,wmatch,1000,253,197,56,0.7786561264822134,0.9946180555555556,0.6042708333333333,30,0.39034722222222223,0.24934895833333334,17701.37376653609,56.492790513833995,136.015,"{'family': 'wmatch', 'lam': 0.8}"
test,adversarial,homog,high,d1_cheap,1000,253,215,38,0.849802371541502,0.9914930555555556,0.6248958333333333,30,0.36659722222222224,0.23763020833333334,11299.751454597352,88.49752173913043,150.341,"{'family': 'd_cheap', 'alpha': 0.0, 'beta': 0.8, 'gamma': 0.2}"
test,adversarial,homog,high,d1_cheap_nomad_ff,1000,253,214,39,0.8458498023715415,0.9866319444444444,0.6257291666666667,30,0.3609027777777778,0.23893229166666666,15113.136762597649,66.16760079051384,121.838,{'derived_from': 'd1_cheap'}
test,adversarial,homog,high,d2_capacity,1000,253,215,38,0.849802371541502,0.9914930555555556,0.6248958333333333,30,0.36659722222222224,0.23763020833333334,7901.269484163592,126.56194071146246,203.16,"{'family': 'd_capacity', 'alpha': 0.0, 'beta': 0.8, 'gamma': 0.2}"
test,adversarial,homog,high,d2_capacity_nomad_ff,1000,253,217,36,0.857707509881423,0.992361111111111,0.6191666666666666,30,0.37319444444444444,0.24088541666666666,11356.973374675708,88.05162845849802,171.2,{'derived_from': 'd2_capacity'}
test,adversarial,homog,high,ff_only_cheap,1000,253,214,39,0.8458498023715415,0.9866319444444444,0.6257291666666667,30,0.3609027777777778,0.23893229166666666,15263.162562273554,65.51722134387352,122.389,"{'alpha': 0, 'beta': 0, 'gamma': 1}"
test,adversarial,homog,high,binpack,1001,253,197,56,0.7786561264822134,0.9946180555555556,0.6042708333333333,30,0.39034722222222223,0.24934895833333334,29532.13510683337,33.86141897233202,78.918,{}
test,adversarial,homog,high,spread,1001,253,218,35,0.8616600790513834,0.998263888888889,0.6239583333333333,30,0.37430555555555556,0.23567708333333334,18775.518564238322,53.260845849802365,89.587,{}
test,adversarial,homog,high,tetris,1001,253,210,43,0.8300395256916996,0.9625,0.613125,30,0.349375,0.255859375,15226.257675342846,65.67601976284585,92.453,{}
test,adversarial,homog,high,hybrid,1001,253,213,40,0.841897233201581,0.9942708333333333,0.6190625,30,0.3752083333333333,0.240234375,15851.09047044345,63.08714229249012,107.491,"{'family': 'hybrid', 'alpha': 0.1}"
test,adversarial,homog,high,balance,1001,253,212,41,0.8379446640316206,0.9946180555555556,0.6230208333333334,30,0.37159722222222225,0.23763020833333334,21261.452927017166,47.03347430830039,91.231,"{'family': 'balance', 'lam': 0.8}"
test,adversarial,homog,high,wmatch,1001,253,197,56,0.7786561264822134,0.9946180555555556,0.6042708333333333,30,0.39034722222222223,0.24934895833333334,17758.539593857287,56.31093675889328,134.181,"{'family': 'wmatch', 'lam': 0.8}"
test,adversarial,homog,high,d1_cheap,1001,253,215,38,0.849802371541502,0.9914930555555556,0.6248958333333333,30,0.36659722222222224,0.23763020833333334,11227.384309237843,89.06794071146246,151.223,"{'family': 'd_cheap', 'alpha': 0.0, 'beta': 0.8, 'gamma': 0.2}"
test,adversarial,homog,high,d1_cheap_nomad_ff,1001,253,214,39,0.8458498023715415,0.9866319444444444,0.6257291666666667,30,0.3609027777777778,0.23893229166666666,15218.424085868965,65.70982608695653,124.002,{'derived_from': 'd1_cheap'}
test,adversarial,homog,high,d2_capacity,1001,253,215,38,0.849802371541502,0.9914930555555556,0.6248958333333333,30,0.36659722222222224,0.23763020833333334,7928.782360596571,126.12277075098814,199.914,"{'family': 'd_capacity', 'alpha': 0.0, 'beta': 0.8, 'gamma': 0.2}"
test,adversarial,homog,high,d2_capacity_nomad_ff,1001,253,217,36,0.857707509881423,0.992361111111111,0.6191666666666666,30,0.37319444444444444,0.24088541666666666,11305.919502389392,88.44924110671936,171.561,{'derived_from': 'd2_capacity'}
test,adversarial,homog,high,ff_only_cheap,1001,253,214,39,0.8458498023715415,0.9866319444444444,0.6257291666666667,30,0.3609027777777778,0.23893229166666666,15169.320798158096,65.92252964426876,123.681,"{'alpha': 0, 'beta': 0, 'gamma': 1}"
test,adversarial,homog,high,binpack,1002,253,197,56,0.7786561264822134,0.9946180555555556,0.6042708333333333,30,0.39034722222222223,0.24934895833333334,29526.47585405331,33.86790909090909,78.607,{}
test,adversarial,homog,high,spread,1002,253,218,35,0.8616600790513834,0.998263888888889,0.6239583333333333,30,0.37430555555555556,0.23567708333333334,18651.70991209368,53.61438735177865,88.947,{}
test,adversarial,homog,high,tetris,1002,253,210,43,0.8300395256916996,0.9625,0.613125,30,0.349375,0.255859375,15107.201417807866,66.19359683794467,94.607,{}
test,adversarial,homog,high,hybrid,1002,253,213,40,0.841897233201581,0.9942708333333333,0.6190625,30,0.3752083333333333,0.240234375,15631.950966338787,63.97154150197629,110.647,"{'family': 'hybrid', 'alpha': 0.1}"
test,adversarial,homog,high,balance,1002,253,212,41,0.8379446640316206,0.9946180555555556,0.6230208333333334,30,0.37159722222222225,0.23763020833333334,21195.324127190375,47.180217391304346,91.531,"{'family': 'balance', 'lam': 0.8}"
test,adversarial,homog,high,wmatch,1002,253,197,56,0.7786561264822134,0.9946180555555556,0.6042708333333333,30,0.39034722222222223,0.24934895833333334,17840.61309090596,56.051885375494074,132.377,"{'family': 'wmatch', 'lam': 0.8}"
test,adversarial,homog,high,d1_cheap,1002,253,215,38,0.849802371541502,0.9914930555555556,0.6248958333333333,30,0.36659722222222224,0.23763020833333334,11362.53910083243,88.0084980237154,146.965,"{'family': 'd_cheap', 'alpha': 0.0, 'beta': 0.8, 'gamma': 0.2}"
test,adversarial,homog,high,d1_cheap_nomad_ff,1002,253,214,39,0.8458498023715415,0.9866319444444444,0.6257291666666667,30,0.3609027777777778,0.23893229166666666,15223.662071768314,65.68721739130436,124.503,{'derived_from': 'd1_cheap'}
test,adversarial,homog,high,d2_capacity,1002,253,215,38,0.849802371541502,0.9914930555555556,0.6248958333333333,30,0.36659722222222224,0.23763020833333334,7910.7578959447665,126.41013833992095,201.888,"{'family': 'd_capacity', 'alpha': 0.0, 'beta': 0.8, 'gamma': 0.2}"
test,adversarial,homog,high,d2_capacity_nomad_ff,1002,253,217,36,0.857707509881423,0.992361111111111,0.6191666666666666,30,0.37319444444444444,0.24088541666666666,11198.217208411037,89.29992885375495,171.531,{'derived_from': 'd2_capacity'}
test,adversarial,homog,high,ff_only_cheap,1002,253,214,39,0.8458498023715415,0.9866319444444444,0.6257291666666667,30,0.3609027777777778,0.23893229166666666,15192.156763842426,65.82343873517787,123.561,"{'alpha': 0, 'beta': 0, 'gamma': 1}"
test,adversarial,homog,high,binpack,1003,253,197,56,0.7786561264822134,0.9946180555555556,0.6042708333333333,30,0.39034722222222223,0.24934895833333334,29834.845849955254,33.51785375494071,79.78,{}
