split,family,cluster_config,load,policy,seed,submitted,placed,rejected,admission_rate,mean_cpu_util,mean_ram_util,active_nodes,free_imbalance,stranded_frac,decisions_per_sec,mean_latency_us,p95_latency_us,params
test,cpu_heavy,homog,high,binpack,1000,171,151,20,0.8830409356725146,0.9694444444444444,0.20791666666666667,30,0.7615277777777777,0.5065104166666666,20533.755151901158,48.700298245614036,108.042,{}
test,cpu_heavy,homog,high,spread,1000,171,153,18,0.8947368421052632,0.9489583333333333,0.20875000000000002,30,0.7402083333333334,0.3890625,15868.498219248266,63.01793567251462,93.985,{}
test,cpu_heavy,homog,high,tetris,1000,171,154,17,0.9005847953216374,0.9407986111111111,0.20947916666666666,30,0.7313194444444445,0.2953125,14657.621114380361,68.22389473684211,97.042,{}
test,cpu_heavy,homog,high,hybrid,1000,171,153,18,0.8947368421052632,0.9338541666666667,0.2084375,30,0.7254166666666666,0.3065104166666667,11178.125389150748,89.46043859649122,128.641,"{'family': 'hybrid', 'alpha': 0.1}"
test,cpu_heavy,homog,high,balance,1000,171,155,16,0.9064327485380117,0.9560763888888889,0.21177083333333335,30,0.7443055555555556,0.432421875,15203.68402156825,65.7735321637427,99.606,"{'family': 'balance', 'lam': 0.8}"
test,cpu_heavy,homog,high,wmatch,1000,171,151,20,0.8830409356725146,0.9694444444444444,0.20791666666666667,30,0.7615277777777777,0.5065104166666666,13794.099271534424,72.49476608187135,142.246,"{'family': 'wmatch', 'lam': 0.8}"
test,cpu_heavy,homog,high,d1_cheap,1000,171,154,17,0.9005847953216374,0.9407986111111111,0.20947916666666666,30,0.7313194444444445,0.3065104166666667,8453.212826440464,118.298216374269,164.548,"{'family': 'd_cheap', 'alpha': 0.0, 'beta': 0.8, 'gamma': 0.2}"
test,cpu_heavy,homog,high,d1_cheap_nomad_ff,1000,171,154,17,0.9005847953216374,0.9694444444444444,0.20791666666666667,30,0.7615277777777777,0.5065104166666666,14596.12646118109,68.51132748538011,125.124,{'derived_from': 'd1_cheap'}
test,cpu_heavy,homog,high,d2_capacity,1000,171,153,18,0.8947368421052632,0.9338541666666667,0.2084375,30,0.7254166666666666,0.28684895833333335,6114.236681887422,163.5527134502924,226.303,"{'family': 'd_capacity', 'alpha': 0.0, 'beta': 0.8, 'gamma': 0.2}"
test,cpu_heavy,homog,high,d2_capacity_nomad_ff,1000,171,151,20,0.8830409356725146,0.9694444444444444,0.20791666666666667,30,0.7615277777777777,0.5065104166666666,10852.499365509577,92.14467251461988,180.548,{'derived_from': 'd2_capacity'}
test,cpu_heavy,homog,high,ff_only_cheap,1000,171,154,17,0.9005847953216374,0.9694444444444444,0.20791666666666667,30,0.7615277777777777,0.5065104166666666,14555.493115421996,68.70258479532164,127.188,"{'alpha': 0, 'beta': 0, 'gamma': 1}"
test,cpu_heavy,homog,high,binpack,1001,171,153,18,0.8947368421052632,0.9744791666666667,0.20281249999999998,30,0.7716666666666666,0.5078125,24058.693081141955,41.565017543859646,81.102,{}
test,cpu_heavy,homog,high,spread,1001,171,151,20,0.8830409356725146,0.947048611111111,0.19947916666666668,30,0.7475694444444444,0.3765625,16190.346974284521,61.76519883040935,91.321,{}
test,cpu_heavy,homog,high,tetris,1001,171,151,20,0.8830409356725146,0.9199652777777777,0.20322916666666666,30,0.7167361111111111,0.24544270833333334,14882.279860837629,67.19400584795322,97.974,{}
test,cpu_heavy,homog,high,hybrid,1001,171,151,20,0.8830409356725146,0.9241319444444444,0.20385416666666664,30,0.7202777777777778,0.260546875,11354.452748245687,88.07117543859648,126.577,"{'family': 'hybrid', 'alpha': 0.1}"
test,cpu_heavy,homog,high,balance,1001,171,156,15,0.9122807017543859,0.9630208333333333,0.2096875,30,0.7533333333333334,0.44947916666666665,15301.829937788665,65.35166081871344,98.033,"{'family': 'balance', 'lam': 0.8}"
test,cpu_heavy,homog,high,wmatch,1001,171,153,18,0.8947368421052632,0.9744791666666667,0.20281249999999998,30,0.7716666666666666,0.5078125,14535.884508572346,68.79526315789474,136.335,"{'family': 'wmatch', 'lam': 0.8}"
test,cpu_heavy,homog,high,d1_cheap,1001,171,153,18,0.8947368421052632,0.9380208333333333,0.2059375,30,0.7320833333333333,0.25729166666666664,8520.930419826242,117.35807602339182,165.961,"{'family': 'd_cheap', 'alpha': 0.0, 'beta': 0.8, 'gamma': 0.2}"
test,cpu_heavy,homog,high,d1_cheap_nomad_ff,1001,171,153,18,0.8947368421052632,0.9692708333333333,0.20281249999999998,30,0.7664583333333332,0.509765625,15066.847903518603,66.37088304093568,125.164,{'derived_from': 'd1_cheap'}
test,cpu_heavy,homog,high,d2_capacity,1001,171,153,18,0.8947368421052632,0.9364583333333333,0.20375,30,0.7327083333333333,0.275,6199.29987789917,161.3085380116959,221.915,"{'family': 'd_capacity', 'alpha': 0.0, 'beta': 0.8, 'gamma': 0.2}"
test,cpu_heavy,homog,high,d2_capacity_nomad_ff,1001,171,153,18,0.8947368421052632,0.9744791666666667,0.20281249999999998,30,0.7716666666666666,0.5078125,11281.601100662032,88.63990058479533,182.161,{'derived_from': 'd2_capacity'}
test,cpu_heavy,homog,high,ff_only_cheap,1001,171,153,18,0.8947368421052632,0.9692708333333333,0.20281249999999998,30,0.7664583333333332,0.509765625,15134.448332099713,66.07442690058478,125.715,"{'alpha': 0, 'beta': 0, 'gamma': 1}"
