split,family,cluster_config,load,policy,seed,submitted,placed,rejected,admission_rate,mean_cpu_util,mean_ram_util,active_nodes,free_imbalance,stranded_frac,decisions_per_sec,mean_latency_us,p95_latency_us,params
test,ram_heavy,homog,high,binpack,1000,285,259,26,0.9087719298245615,0.5767361111111111,0.9872916666666666,30,0.41055555555555556,0.16666666666666666,9968.967827412473,100.31128771929824,215.854,{}
test,ram_heavy,homog,high,spread,1000,285,261,24,0.9157894736842105,0.5838541666666667,0.9809375,30,0.39986111111111106,0.16796875,6707.748685369517,149.08131578947368,261.78,{}
test,ram_heavy,homog,high,tetris,1000,285,259,26,0.9087719298245615,0.5772569444444444,0.9651041666666667,30,0.3878472222222222,0.108203125,6988.156521367281,143.0992561403509,217.637,{}
test,ram_heavy,homog,high,hybrid,1000,285,259,26,0.9087719298245615,0.5746527777777778,0.9666666666666667,30,0.3974305555555555,0.09700520833333333,5606.584435712424,178.36171228070177,262.531,"{'family': 'hybrid', 'alpha': 0.1}"
test,ram_heavy,homog,high,balance,1000,285,260,25,0.9122807017543859,0.576388888888889,0.9864583333333333,30,0.41006944444444443,0.16731770833333334,9635.221012868633,103.78589122807017,195.215,"{'family': 'balance', 'lam': 0.8}"
test,ram_heavy,homog,high,wmatch,1000,285,259,26,0.9087719298245615,0.5767361111111111,0.9872916666666666,30,0.41055555555555556,0.16666666666666666,6490.470509010025,154.07203508771929,307.706,"{'family': 'wmatch', 'lam': 0.8}"
test,ram_heavy,homog,high,d1_cheap,1000,285,260,25,0.9122807017543859,0.5784722222222223,0.9758333333333333,30,0.3973611111111111,0.1203125,3980.9592812818014,251.19573684210525,375.953,"{'family': 'd_cheap', 'alpha': 0.0, 'beta': 0.8, 'gamma': 0.2}"
test,ram_heavy,homog,high,d1_cheap_nomad_ff,1000,285,259,26,0.9087719298245615,0.5756944444444444,0.9847916666666666,30,0.40909722222222217,0.16861979166666666,6930.958461087922,144.2801894736842,268.161,{'derived_from': 'd1_cheap'}
test,ram_heavy,homog,high,d2_capacity,1000,285,262,23,0.9192982456140351,0.5835069444444444,0.9801041666666667,30,0.39659722222222216,0.125,3047.465885089685,328.14149122807015,470.32,"{'family': 'd_capacity', 'alpha': 0.0, 'beta': 0.8, 'gamma': 0.2}"
test,ram_heavy,homog,high,d2_capacity_nomad_ff,1000,285,259,26,0.9087719298245615,0.5767361111111111,0.9872916666666666,30,0.41055555555555556,0.16666666666666666,5038.729887887553,198.46271228070177,388.557,{'derived_from': 'd2_capacity'}
test,ram_heavy,homog,high,ff_only_cheap,1000,285,259,26,0.9087719298245615,0.5756944444444444,0.9847916666666666,30,0.40909722222222217,0.16861979166666666,6830.127187752647,146.41015789473684,283.16,"{'alpha': 0, 'beta': 0, 'gamma': 1}"
test,ram_heavy,homog,high,binpack,1001,285,256,29,0.8982456140350877,0.5699652777777777,0.9851041666666667,30,0.41513888888888884,0.17057291666666666,10845.919293269244,92.2005754385965,177.722,{}
test,ram_heavy,homog,high,spread,1001,285,258,27,0.9052631578947369,0.5682291666666667,0.9746875,30,0.4064583333333333,0.1609375,7115.358511333181,140.5410561403509,221.134,{}
test,ram_heavy,homog,high,tetris,1001,285,258,27,0.9052631578947369,0.56875,0.97125,30,0.40249999999999997,0.13138020833333333,6832.428248355746,146.360849122807,230.051,{}
test,ram_heavy,homog,high,hybrid,1001,285,260,25,0.9122807017543859,0.5737847222222222,0.9755208333333333,30,0.4025694444444444,0.10768229166666667,5394.87309876627,185.36117192982456,281.947,"{'family': 'hybrid', 'alpha': 0.1}"
