split,family,cluster_config,load,policy,seed,submitted,placed,rejected,admission_rate,mean_cpu_util,mean_ram_util,active_nodes,free_imbalance,stranded_frac,decisions_per_sec,mean_latency_us,p95_latency_us,params
test,tiny_large,homog,high,binpack,1000,333,304,29,0.9129129129129129,0.9954861111111111,0.5985416666666666,30,0.39694444444444443,0.2526041666666667,10012.432253718522,99.87583183183183,218.589,{}
test,tiny_large,homog,high,spread,1000,333,306,27,0.918918918918919,0.9614583333333333,0.591875,30,0.4365277777777778,0.26953125,6926.715824993384,144.36856156156156,246.652,{}
test,tiny_large,homog,high,tetris,1000,333,318,15,0.954954954954955,0.9822916666666667,0.6106250000000001,30,0.3716666666666667,0.25,5827.303197402765,171.60596696696695,295.142,{}
test,tiny_large,homog,high,hybrid,1000,333,317,16,0.9519519519519519,0.9857638888888889,0.6127083333333334,30,0.37305555555555553,0.24739583333333334,5360.307301105557,186.55646846846847,301.704,"{'family': 'hybrid', 'alpha': 0.1}"
test,tiny_large,homog,high,balance,1000,333,304,29,0.9129129129129129,0.9944444444444446,0.5991666666666667,30,0.3952777777777778,0.2526041666666667,9011.521351825624,110.96905405405406,215.443,"{'family': 'balance', 'lam': 0.8}"
test,tiny_large,homog,high,wmatch,1000,333,304,29,0.9129129129129129,0.9954861111111111,0.5985416666666666,30,0.39694444444444443,0.2526041666666667,6620.847749251755,151.03806006006005,293.219,"{'family': 'wmatch', 'lam': 0.8}"
test,tiny_large,homog,high,d1_cheap,1000,333,315,18,0.9459459459459459,0.9854166666666667,0.60875,30,0.3766666666666667,0.25,4309.802922419121,232.02917117117119,340.658,"{'family': 'd_cheap', 'alpha': 0.0, 'beta': 0.8, 'gamma': 0.2}"
test,tiny_large,homog,high,d1_cheap_nomad_ff,1000,333,304,29,0.9129129129129129,0.9954861111111111,0.5985416666666666,30,0.39694444444444443,0.2526041666666667,6934.441044694159,144.20772972972972,275.255,{'derived_from': 'd1_cheap'}
test,tiny_large,homog,high,d2_capacity,1000,333,316,17,0.948948948948949,0.9881944444444444,0.6154166666666666,30,0.37472222222222223,0.24479166666666666,3040.7070131414425,328.8708828828829,471.091,"{'family': 'd_capacity', 'alpha': 0.0, 'beta': 0.8, 'gamma': 0.2}"
test,tiny_large,homog,high,d2_capacity_nomad_ff,1000,333,304,29,0.9129129129129129,0.9954861111111111,0.5985416666666666,30,0.39694444444444443,0.2526041666666667,4767.100035189215,209.77113813813813,404.888,{'derived_from': 'd2_capacity'}
test,tiny_large,homog,high,ff_only_cheap,1000,333,304,29,0.9129129129129129,0.9954861111111111,0.5985416666666666,30,0.39694444444444443,0.2526041666666667,6784.531016644859,147.39412312312314,283.23,"{'alpha': 0, 'beta': 0, 'gamma': 1}"
