family,cluster_config,load,policy,n_runs,mean_throughput_horizon,sd_throughput_horizon,ci95_low_throughput_horizon,ci95_high_throughput_horizon,mean_p95_wait_time,sd_p95_wait_time,ci95_low_p95_wait_time,ci95_high_p95_wait_time,mean_mean_wait_time,sd_mean_wait_time,ci95_low_mean_wait_time,ci95_high_mean_wait_time,mean_queued_at_horizon,sd_queued_at_horizon,ci95_low_queued_at_horizon,ci95_high_queued_at_horizon,mean_completion_ratio_horizon,sd_completion_ratio_horizon,ci95_low_completion_ratio_horizon,ci95_high_completion_ratio_horizon,mean_time_weighted_cpu_utilization,sd_time_weighted_cpu_utilization,ci95_low_time_weighted_cpu_utilization,ci95_high_time_weighted_cpu_utilization,mean_time_weighted_ram_utilization,sd_time_weighted_ram_utilization,ci95_low_time_weighted_ram_utilization,ci95_high_time_weighted_ram_utilization,mean_time_weighted_queue_length,sd_time_weighted_queue_length,ci95_low_time_weighted_queue_length,ci95_high_time_weighted_queue_length,mean_time_weighted_active_nodes,sd_time_weighted_active_nodes,ci95_low_time_weighted_active_nodes,ci95_high_time_weighted_active_nodes,mean_drained_throughput,sd_drained_throughput,ci95_low_drained_throughput,ci95_high_drained_throughput
adversarial,hetero,high,binpack,10,16.612000000,0.551780955,16.217279712,17.006720288,27.213491423,1.706360180,25.992834972,28.434147874,9.996186002,0.993705136,9.285332222,10.707039782,322.000000000,37.007506746,295.526426382,348.473573618,0.559299262,0.023961720,0.542158082,0.576440443,0.904622629,0.004131201,0.901667346,0.907577912,0.639675661,0.041853961,0.609735143,0.669616180,249.009615221,27.437420846,229.382068149,268.637162293,28.832069178,0.114685952,28.750027796,28.914110560,19.350383826,0.782934844,18.790306018,19.910461633
adversarial,hetero,high,hybrid,10,17.084000000,0.469590838,16.748074975,17.419925025,27.619399124,2.375327686,25.920192183,29.318606066,9.432146422,0.944266888,8.756658632,10.107634213,314.800000000,34.560092592,290.077200872,339.522799128,0.575118083,0.020038414,0.560783466,0.589452699,0.905760561,0.004640318,0.902441077,0.909080044,0.644454833,0.041418769,0.614825633,0.674084034,234.904787823,27.613270476,215.151445513,254.658130132,29.135021898,0.087478728,29.072443391,29.197600406,19.399803394,0.791552229,18.833561081,19.966045706
adversarial,hetero,high,spread,10,17.438000000,0.532703795,17.056926689,17.819073311,28.417184658,2.867809221,26.365677674,30.468691641,8.775515260,0.799458701,8.203616998,9.347413521,307.500000000,30.273751006,285.843464706,329.156535294,0.586803120,0.013654159,0.577035524,0.596570716,0.906309485,0.005385074,0.902457236,0.910161734,0.649958874,0.041384970,0.620353852,0.679563896,217.758277045,25.674398351,199.391920199,236.124633890,29.694830660,0.052694072,29.657135594,29.732525726,19.347968630,0.794916617,18.779319579,19.916617681
adversarial,hetero,high,tetris,10,17.528000000,0.611097374,17.090847305,17.965152695,28.173617590,3.099897894,25.956084384,30.391150797,8.675860357,0.674488936,8.193360073,9.158360640,304.800000000,27.780088793,284.927323064,324.672676936,0.589731991,0.012488812,0.580798033,0.598665948,0.908000696,0.004318207,0.904911637,0.911089755,0.651505296,0.041153387,0.622065938,0.680944653,215.124594629,20.891763088,200.179528701,230.069660557,29.380337278,0.063359428,29.335012677,29.425661880,19.371075476,0.781625662,18.811934201,19.930216752
adversarial,hetero,low,binpack,10,12.806000000,0.606340572,12.372250116,13.239749884,1.779476482,0.452062760,1.456090289,2.102862676,0.238184091,0.090057309,0.173760978,0.302607205,0.000000000,0.000000000,0.000000000,0.000000000,0.794963250,0.015570026,0.783825125,0.806101375,0.675835351,0.025279234,0.657751677,0.693919024,0.389071292,0.025869813,0.370565143,0.407577440,3.849783020,1.497316557,2.778667357,4.920898682,24.495820402,0.590176451,24.073633633,24.918007171,13.107579215,0.621880722,12.662712577,13.552445852
adversarial,hetero,low,hybrid,10,12.806000000,0.606340572,12.372250116,13.239749884,1.880725648,0.462441868,1.549914688,2.211536608,0.220955027,0.074144434,0.167915298,0.273994756,0.000000000,0.000000000,0.000000000,0.000000000,0.794963250,0.015570026,0.783825125,0.806101375,0.675835351,0.025279234,0.657751677,0.693919024,0.389071292,0.025869813,0.370565143,0.407577440,3.571921151,1.237856791,2.686411811,4.457430491,26.688553003,0.858428626,26.074470202,27.302635805,13.107579215,0.621880722,12.662712577,13.552445852
adversarial,hetero,low,spread,10,12.806000000,0.606340572,12.372250116,13.239749884,1.975793564,0.486827000,1.627538532,2.324048595,0.231492616,0.073825082,0.178681337,0.284303895,0.000000000,0.000000000,0.000000000,0.000000000,0.794963250,0.015570026,0.783825125,0.806101375,0.675835351,0.025279234,0.657751677,0.693919024,0.389071292,0.025869813,0.370565143,0.407577440,3.735277761,1.215671762,2.865638633,4.604916888,29.433256940,0.097860420,29.363251817,29.503262062,13.107579215,0.621880722,12.662712577,13.552445852
adversarial,hetero,low,tetris,10,12.806000000,0.606340572,12.372250116,13.239749884,1.942740444,0.463552430,1.611135036,2.274345852,0.235948001,0.083043282,0.176542420,0.295353582,0.000000000,0.000000000,0.000000000,0.000000000,0.794963250,0.015570026,0.783825125,0.806101375,0.675835351,0.025279234,0.657751677,0.693919024,0.389071292,0.025869813,0.370565143,0.407577440,3.822150916,1.405571098,2.816665997,4.827635836,28.524990946,0.361103961,28.266672752,28.783309139,13.107579215,0.621880722,12.662712577,13.552445852
adversarial,hetero,med,binpack,10,15.914000000,0.671849851,15.433387604,16.394612396,10.947958904,2.054018654,9.478602580,12.417315227,3.932280073,0.722371057,3.415526985,4.449033160,57.300000000,47.109918748,23.599596709,91.000403291,0.692258640,0.024106526,0.675013872,0.709503408,0.887173399,0.004125028,0.884222532,0.890124265,0.534651717,0.036020016,0.508884551,0.560418882,89.338596180,17.486901605,76.829221253,101.847971108,28.480538787,0.148503583,28.374305731,28.586771843,18.275091472,0.735905910,17.748656135,18.801526809
adversarial,hetero,med,hybrid,10,15.946000000,0.680656546,15.459087674,16.432912326,10.762997352,1.991290125,9.338514312,12.187480393,3.713476737,0.690699733,3.219379948,4.207573526,53.200000000,45.805870560,20.432456519,85.967543481,0.693628281,0.023899841,0.676531366,0.710725196,0.889397383,0.005633652,0.885367312,0.893427454,0.534273003,0.035974685,0.508538265,0.560007740,84.421380656,16.901580377,72.330719282,96.512042030,28.875528468,0.113722347,28.794176408,28.956880528,18.298053687,0.717149750,17.785035697,18.811071676
adversarial,hetero,med,spread,10,15.894000000,0.682742834,15.405595234,16.382404766,11.000810772,1.736185843,9.758818329,12.242803215,3.632556449,0.596217866,3.206047912,4.059064986,58.900000000,47.115578929,25.195547660,92.604452340,0.691303962,0.021961390,0.675593731,0.707014193,0.886580127,0.006849253,0.881680467,0.891479787,0.533665855,0.036516550,0.507543491,0.559788219,82.316825403,14.381275980,72.029081054,92.604569752,29.603279858,0.068502294,29.554276272,29.652283444,18.259368838,0.757503732,17.717483351,18.801254325
adversarial,hetero,med,tetris,10,15.918000000,0.710896148,15.409455568,16.426544432,10.849566033,1.904331128,9.487289708,12.211842359,3.597376954,0.622936009,3.151755410,4.042998498,56.200000000,46.846795218,22.687823930,89.712176070,0.692353126,0.023728237,0.675378969,0.709327283,0.887202129,0.004611355,0.883903365,0.890500894,0.532870800,0.036210472,0.506967390,0.558774209,81.646684901,15.077604702,70.860817029,92.432552774,29.194438462,0.082367257,29.135516480,29.253360444,18.284249247,0.716603820,17.771621792,18.796876702
adversarial,homog,high,binpack,10,17.444000000,0.200842669,17.300325820,17.587674180,26.412897723,1.917879629,25.040929384,27.784866061,8.999323898,0.903389324,8.353078152,9.645569643,302.200000000,30.385669137,280.463403305,323.936596695,0.582805728,0.018011308,0.569921215,0.595690241,0.931109150,0.004129675,0.928154958,0.934063341,0.670996615,0.013894832,0.661056851,0.680936378,229.118854656,24.429433553,211.643091913,246.594617399,28.569803197,0.107230805,28.493094905,28.646511489,19.776750210,0.161384247,19.661302883,19.892197537
adversarial,homog,high,hybrid,10,17.494000000,0.209348195,17.344241334,17.643758666,26.389807230,2.162332151,24.842968104,27.936646355,8.970032890,0.878248902,8.341771518,9.598294262,301.000000000,29.495762408,279.900004183,322.099995817,0.584441730,0.016902800,0.572350196,0.596533264,0.930742138,0.003786588,0.928033376,0.933450900,0.671228396,0.014024034,0.661196207,0.681260585,228.498599465,23.964399244,211.355502203,245.641696728,29.176989606,0.075897640,29.122695709,29.231283503,19.771577414,0.162843091,19.655086493,19.888068336
adversarial,homog,high,spread,10,17.008000000,0.355052422,16.754010816,17.261989184,26.508009313,1.466502632,25.458936603,27.557082023,9.483960805,1.056965977,8.727852948,10.240068661,308.800000000,36.325075514,282.814608241,334.785391759,0.568358445,0.023508246,0.551541661,0.585175230,0.923655448,0.004229315,0.920629979,0.926680918,0.668334177,0.012790446,0.659184444,0.677483910,241.194534383,27.573383062,221.469725809,260.919342958,29.701083374,0.051207753,29.664451557,29.737715192,19.722251953,0.155350966,19.611120575,19.833383331
adversarial,homog,high,tetris,10,17.788000000,0.409465777,17.495085850,18.080914150,26.885127006,3.005168206,24.735359331,29.034894681,8.039444488,0.519795192,7.667605435,8.411283542,309.500000000,22.618822054,293.319470603,325.680529397,0.593980648,0.008112217,0.588177518,0.599783778,0.913952709,0.004924865,0.910429673,0.917475745,0.677981156,0.016385093,0.666259967,0.689702344,196.310510405,15.198225502,185.438355616,207.182665194,29.377291773,0.067779271,29.328805407,29.425778139,19.605855739,0.202530466,19.460974182,19.750737296
