family,load,policy,n_runs,n_seed_blocks,mean_throughput_horizon,sd_throughput_horizon,ci95_low_throughput_horizon,ci95_high_throughput_horizon,mean_p95_wait_time,sd_p95_wait_time,ci95_low_p95_wait_time,ci95_high_p95_wait_time,mean_mean_wait_time,sd_mean_wait_time,ci95_low_mean_wait_time,ci95_high_mean_wait_time,mean_queued_at_horizon,sd_queued_at_horizon,ci95_low_queued_at_horizon,ci95_high_queued_at_horizon,mean_completion_ratio_horizon,sd_completion_ratio_horizon,ci95_low_completion_ratio_horizon,ci95_high_completion_ratio_horizon,mean_time_weighted_cpu_utilization,sd_time_weighted_cpu_utilization,ci95_low_time_weighted_cpu_utilization,ci95_high_time_weighted_cpu_utilization,mean_time_weighted_ram_utilization,sd_time_weighted_ram_utilization,ci95_low_time_weighted_ram_utilization,ci95_high_time_weighted_ram_utilization,mean_time_weighted_queue_length,sd_time_weighted_queue_length,ci95_low_time_weighted_queue_length,ci95_high_time_weighted_queue_length,mean_time_weighted_active_nodes,sd_time_weighted_active_nodes,ci95_low_time_weighted_active_nodes,ci95_high_time_weighted_active_nodes,mean_drained_throughput,sd_drained_throughput,ci95_low_drained_throughput,ci95_high_drained_throughput
adversarial,high,binpack,20,10,17.028000000,0.274177558,16.831865190,17.224134810,26.813194573,1.791904635,25.531343217,28.095045928,9.497754950,0.927051864,8.834581997,10.160927903,312.100000000,30.461086287,290.309451562,333.890548438,0.571052495,0.018706522,0.557670656,0.584434335,0.917865889,0.003686631,0.915228632,0.920503146,0.655336138,0.021184696,0.640181519,0.670490757,239.064234938,24.659641423,221.423790148,256.704679729,28.700936188,0.110138785,28.622147647,28.779724728,19.563567018,0.390169848,19.284456323,19.842677713
adversarial,high,hybrid,20,10,17.289000000,0.221432207,17.130596942,17.447403058,27.004603177,2.236764855,25.404517991,28.604688363,9.201089656,0.885448514,8.567677947,9.834501365,307.900000000,29.258237207,286.969917958,328.830082042,0.579779906,0.016439581,0.568019738,0.591540074,0.918251349,0.003926856,0.915442246,0.921060453,0.657841615,0.021138770,0.642719849,0.672963380,231.701693644,24.385754844,214.257175509,249.146211779,29.156005752,0.067019867,29.108062628,29.203948877,19.585690404,0.388595150,19.307706180,19.863674628
adversarial,high,spread,20,10,17.223000000,0.240511030,17.050948774,17.395051226,27.462596985,2.130546278,25.938495992,28.986697979,9.129738032,0.898597203,8.486920317,9.772555747,308.150000000,30.781533064,286.130217747,330.169782253,0.577580783,0.016713358,0.565624766,0.589536799,0.914982467,0.004353857,0.911867905,0.918097029,0.659146525,0.021415180,0.643827029,0.674466022,229.476405714,24.944223633,211.632383074,247.320428354,29.697957017,0.051721493,29.660957690,29.734956344,19.535110291,0.389923039,19.256176153,19.814044430
adversarial,high,tetris,20,10,17.658000000,0.400383150,17.371583149,17.944416851,27.529372298,3.012812150,25.374136321,29.684608276,8.357652422,0.571122625,7.949095908,8.766208936,307.150000000,22.949279824,290.733074191,323.566925809,0.591856319,0.008942579,0.585459184,0.598253455,0.910976703,0.003618191,0.908388405,0.913565001,0.664743226,0.021794840,0.649152137,0.680334315,205.717552517,16.739103537,193.743119202,217.691985831,29.378814526,0.060423742,29.335589984,29.422039067,19.488465608,0.369667702,19.224021264,19.752909951
adversarial,low,binpack,20,10,12.871000000,0.454983516,12.545524400,13.196475600,1.532166227,0.427278252,1.226509778,1.837822676,0.190357861,0.073238110,0.137966473,0.242749248,0.000000000,0.000000000,0.000000000,0.000000000,0.795718051,0.015359564,0.784730480,0.806705621,0.676491352,0.024797214,0.658752493,0.694230210,0.397130282,0.015296711,0.386187674,0.408072890,3.085048511,1.209328098,2.219947305,3.950149718,24.182878211,0.560956119,23.781594377,24.584162045,13.163779968,0.488437212,12.814373036,13.513186901
adversarial,low,hybrid,20,10,12.871000000,0.454983516,12.545524400,13.196475600,1.627157759,0.447286952,1.307187949,1.947127569,0.188160199,0.066961163,0.140259068,0.236061330,0.000000000,0.000000000,0.000000000,0.000000000,0.795718051,0.015359564,0.784730480,0.806705621,0.676491352,0.024797214,0.658752493,0.694230210,0.397130282,0.015296711,0.386187674,0.408072890,3.050038061,1.107114331,2.258056178,3.842019943,27.486855763,0.444598985,27.168808809,27.804902718,13.163779968,0.488437212,12.814373036,13.513186901
adversarial,low,spread,20,10,12.871000000,0.454983516,12.545524400,13.196475600,1.778429437,0.444281937,1.460609285,2.096249589,0.214304961,0.071732952,0.162990299,0.265619623,0.000000000,0.000000000,0.000000000,0.000000000,0.795718051,0.015359564,0.784730480,0.806705621,0.676491352,0.024797214,0.658752493,0.694230210,0.397130282,0.015296711,0.386187674,0.408072890,3.470778719,1.181967944,2.625249787,4.316307650,29.439007572,0.096024881,29.370315510,29.507699633,13.163779968,0.488437212,12.814373036,13.513186901
adversarial,low,tetris,20,10,12.871000000,0.454983516,12.545524400,13.196475600,2.097190304,0.509470626,1.732736974,2.461643635,0.260340236,0.087504695,0.197743148,0.322937324,0.000000000,0.000000000,0.000000000,0.000000000,0.795718051,0.015359564,0.784730480,0.806705621,0.676491352,0.024797214,0.658752493,0.694230210,0.397130282,0.015296711,0.386187674,0.408072890,4.233743209,1.475420620,3.178290879,5.289195539,28.677396563,0.188143791,28.542806603,28.811986523,13.163779968,0.488437212,12.814373036,13.513186901
adversarial,med,binpack,20,10,16.122000000,0.377265011,15.852120869,16.391879131,10.306154583,1.992663785,8.880688783,11.731620383,3.615238138,0.688469641,3.122736626,4.107739650,43.350000000,40.780612224,14.177307417,72.522692583,0.700147654,0.023694362,0.683197728,0.717097579,0.895592101,0.005435407,0.891703845,0.899480357,0.546798117,0.018587581,0.533501363,0.560094871,82.666847768,16.941837874,70.547387045,94.786308491,28.307287935,0.141235175,28.206254378,28.408321493,18.405485480,0.429035891,18.098571693,18.712399267
adversarial,med,hybrid,20,10,16.136000000,0.368908299,15.872098900,16.399901100,10.232070331,1.933452122,8.848962003,11.615178659,3.502650023,0.665192911,3.026799680,3.978500366,41.500000000,40.639335078,12.428370999,70.571629001,0.700728179,0.022809304,0.684411387,0.717044972,0.896820348,0.006150929,0.892420238,0.901220457,0.546783144,0.018633011,0.533453891,0.560112397,80.142816645,16.499065774,68.340096001,91.945537288,28.902807478,0.087125827,28.840481416,28.965133540,18.429653344,0.426754090,18.124371858,18.734934830
