load,policy,n_runs,mean_throughput_horizon,sd_throughput_horizon,ci95_low_throughput_horizon,ci95_high_throughput_horizon,mean_p95_wait_time,sd_p95_wait_time,ci95_low_p95_wait_time,ci95_high_p95_wait_time,mean_mean_wait_time,sd_mean_wait_time,ci95_low_mean_wait_time,ci95_high_mean_wait_time,mean_queued_at_horizon,sd_queued_at_horizon,ci95_low_queued_at_horizon,ci95_high_queued_at_horizon,mean_completion_ratio_horizon,sd_completion_ratio_horizon,ci95_low_completion_ratio_horizon,ci95_high_completion_ratio_horizon,mean_time_weighted_cpu_utilization,sd_time_weighted_cpu_utilization,ci95_low_time_weighted_cpu_utilization,ci95_high_time_weighted_cpu_utilization,mean_time_weighted_ram_utilization,sd_time_weighted_ram_utilization,ci95_low_time_weighted_ram_utilization,ci95_high_time_weighted_ram_utilization,mean_time_weighted_queue_length,sd_time_weighted_queue_length,ci95_low_time_weighted_queue_length,ci95_high_time_weighted_queue_length,mean_time_weighted_active_nodes,sd_time_weighted_active_nodes,ci95_low_time_weighted_active_nodes,ci95_high_time_weighted_active_nodes,mean_drained_throughput,sd_drained_throughput,ci95_low_drained_throughput,ci95_high_drained_throughput
high,binpack,160,18.562875000,4.546355426,17.852985547,19.272764453,18.789350319,4.322147557,18.114469744,19.464230894,6.668241104,2.741060652,6.240238921,7.096243287,282.593750000,98.952837815,267.142785589,298.044714411,0.632173512,0.062056880,0.622483657,0.641863367,0.865936563,0.115902395,0.847839014,0.884034111,0.501359952,0.232459456,0.465062633,0.537657272,150.779442210,68.087931438,140.147870354,161.411014065,28.115099711,0.376245427,28.056350969,28.173848452,18.768816136,3.928295606,18.155433469,19.382198804
high,hybrid,160,18.724625000,4.528847700,18.017469286,19.431780714,19.103925385,4.352572626,18.424294096,19.783556674,6.459160333,2.526989903,6.064584170,6.853736496,275.981250000,91.805404801,261.646319606,290.316180394,0.637402748,0.056415323,0.628593792,0.646211703,0.864609549,0.115345119,0.846599016,0.882620082,0.505523828,0.230357530,0.469554713,0.541492943,145.472850799,63.506571640,135.556634145,155.389067453,28.971732577,0.465813159,28.898998305,29.044466848,18.778999587,3.944705477,18.163054604,19.394944569
high,spread,160,18.677625000,4.530209082,17.970256714,19.384993286,19.117049495,4.460327063,18.420592918,19.813506072,6.490709420,2.567494769,6.089808636,6.891610205,277.687500000,94.518587404,262.928920434,292.446079566,0.635913471,0.058071515,0.626845910,0.644981032,0.864831326,0.115026187,0.846870593,0.882792059,0.504484579,0.231004973,0.468414369,0.540554789,146.380446545,64.346658032,136.333054826,156.427838265,29.667567408,0.092738750,29.653086741,29.682048075,18.766102976,3.932532880,18.152058680,19.380147271
high,tetris,160,18.819250000,4.536647635,18.110876368,19.527623632,19.318070666,4.464240688,18.621002996,20.015138335,6.305829672,2.395533849,5.931779679,6.679879664,273.187500000,89.656871236,259.188051805,287.186948195,0.640418215,0.053966070,0.631991698,0.648844733,0.863302462,0.114434889,0.845434057,0.881170867,0.507618946,0.230579601,0.471615156,0.543622736,140.948284021,59.043475973,131.728956247,150.167611795,29.309312506,0.354994467,29.253881990,29.364743022,18.759443943,3.930798991,18.145670385,19.373217501
low,binpack,160,12.607125000,2.678503616,12.188890769,13.025359231,0.427173359,0.849397589,0.294544400,0.559802318,0.060303926,0.121959999,0.041260515,0.079347338,0.012500000,0.158113883,-0.012188650,0.037188650,0.796217589,0.014413136,0.793967054,0.798468124,0.609556427,0.092186135,0.595162048,0.623950807,0.347057573,0.148097600,0.323932913,0.370182234,0.982216452,2.000397122,0.669864978,1.294567926,22.661801889,1.467479969,22.432662622,22.890941157,12.890345130,2.685064449,12.471086460,13.309603801
low,hybrid,160,12.607125000,2.678503616,12.188890769,13.025359231,0.489684148,0.991191181,0.334914866,0.644453430,0.067330847,0.135269146,0.046209282,0.088452412,0.018750000,0.176331413,-0.008783221,0.046283221,0.796217589,0.014413136,0.793967054,0.798468124,0.609541858,0.092178655,0.595148646,0.623935069,0.347053855,0.148097534,0.323929205,0.370178505,1.095706217,2.218380047,0.749317858,1.442094577,27.548296380,1.419729595,27.326613082,27.769979678,12.890613027,2.685196732,12.471333701,13.309892353
low,spread,160,12.607125000,2.678503616,12.188890769,13.025359231,0.482635430,0.955153704,0.333493210,0.631777650,0.066234106,0.129184536,0.046062621,0.086405591,0.000000000,0.000000000,0.000000000,0.000000000,0.796217589,0.014413136,0.793967054,0.798468124,0.609547047,0.092180682,0.595153519,0.623940575,0.347053759,0.148095578,0.323929414,0.370178103,1.077615716,2.116072283,0.747202175,1.408029257,29.382923833,0.172716495,29.355955062,29.409892604,12.890613027,2.685196732,12.471333701,13.309892353
low,tetris,160,12.607125000,2.678503616,12.188890769,13.025359231,0.553894222,1.091513885,0.383460078,0.724328366,0.077047467,0.147577090,0.054004082,0.100090852,0.018750000,0.176331413,-0.008783221,0.046283221,0.796217589,0.014413136,0.793967054,0.798468124,0.609538892,0.092178095,0.595145768,0.623932016,0.347052368,0.148096129,0.323927938,0.370176799,1.253829993,2.416026289,0.876580214,1.631079772,28.579923656,0.841535031,28.448522394,28.711324919,12.890345130,2.685064449,12.471086460,13.309603801
med,binpack,160,17.041500000,3.783741152,16.450688749,17.632311251,4.992163207,3.636474673,4.424346841,5.559979572,1.563914860,1.636689498,1.308354415,1.819475304,41.925000000,41.051823361,35.514974014,48.335025986,0.753874788,0.046667940,0.746587835,0.761161741,0.827104645,0.116071840,0.808980639,0.845228652,0.468137055,0.206868920,0.435835563,0.500438547,33.554342704,36.531545708,27.850134264,39.258551144,27.485137249,0.546899719,27.399741739,27.570532759,17.633271092,3.700789242,17.055412345,18.211129839
med,hybrid,160,17.042500000,3.777430327,16.452674151,17.632325849,5.428386136,3.682571916,4.853371928,6.003400344,1.574038225,1.496465498,1.340373020,1.807703431,41.850000000,36.722518925,36.115972098,47.584027902,0.753625085,0.042756395,0.746948899,0.760301271,0.824122826,0.115535921,0.806082501,0.842163151,0.468271508,0.206265890,0.436064176,0.500478840,33.525276316,33.567131402,28.283945555,38.766607077,28.672146359,0.605629321,28.577580531,28.766712188,17.588135939,3.706442896,17.009394404,18.166877475
