family,load,policy,baseline,n_pairs,mean_delta_throughput_horizon,sd_delta_throughput_horizon,ci95_low_delta_throughput_horizon,ci95_high_delta_throughput_horizon,wins_throughput_horizon,losses_throughput_horizon,ties_throughput_horizon,mean_delta_p95_wait_time,sd_delta_p95_wait_time,ci95_low_delta_p95_wait_time,ci95_high_delta_p95_wait_time,wins_p95_wait_time,losses_p95_wait_time,ties_p95_wait_time,mean_delta_mean_wait_time,sd_delta_mean_wait_time,ci95_low_delta_mean_wait_time,ci95_high_delta_mean_wait_time,wins_mean_wait_time,losses_mean_wait_time,ties_mean_wait_time,mean_delta_queued_at_horizon,sd_delta_queued_at_horizon,ci95_low_delta_queued_at_horizon,ci95_high_delta_queued_at_horizon,wins_queued_at_horizon,losses_queued_at_horizon,ties_queued_at_horizon,mean_delta_completion_ratio_horizon,sd_delta_completion_ratio_horizon,ci95_low_delta_completion_ratio_horizon,ci95_high_delta_completion_ratio_horizon,wins_completion_ratio_horizon,losses_completion_ratio_horizon,ties_completion_ratio_horizon,mean_delta_time_weighted_cpu_utilization,sd_delta_time_weighted_cpu_utilization,ci95_low_delta_time_weighted_cpu_utilization,ci95_high_delta_time_weighted_cpu_utilization,wins_time_weighted_cpu_utilization,losses_time_weighted_cpu_utilization,ties_time_weighted_cpu_utilization,mean_delta_time_weighted_ram_utilization,sd_delta_time_weighted_ram_utilization,ci95_low_delta_time_weighted_ram_utilization,ci95_high_delta_time_weighted_ram_utilization,wins_time_weighted_ram_utilization,losses_time_weighted_ram_utilization,ties_time_weighted_ram_utilization,mean_delta_time_weighted_queue_length,sd_delta_time_weighted_queue_length,ci95_low_delta_time_weighted_queue_length,ci95_high_delta_time_weighted_queue_length,wins_time_weighted_queue_length,losses_time_weighted_queue_length,ties_time_weighted_queue_length,mean_delta_time_weighted_active_nodes,sd_delta_time_weighted_active_nodes,ci95_low_delta_time_weighted_active_nodes,ci95_high_delta_time_weighted_active_nodes,wins_time_weighted_active_nodes,losses_time_weighted_active_nodes,ties_time_weighted_active_nodes,mean_delta_drained_throughput,sd_delta_drained_throughput,ci95_low_delta_drained_throughput,ci95_high_delta_drained_throughput,wins_drained_throughput,losses_drained_throughput,ties_drained_throughput
adversarial,high,hybrid,binpack,20,0.261000000,0.294830906,0.123014892,0.398985108,16,3,1,0.191408604,0.730398238,-0.150428285,0.533245493,13,7,0,-0.296665294,0.326022668,-0.449248595,-0.144081992,5,15,0,-4.200000000,7.770389139,-7.836653966,-0.563346034,8,11,1,0.008727411,0.009821079,0.004131005,0.013323817,16,3,1,0.000385460,0.002820570,-0.000934607,0.001705527,9,11,0,0.002505477,0.003205674,0.001005175,0.004005778,16,4,0,-7.362541294,7.724426125,-10.977683908,-3.747398681,3,17,0,0.455069565,0.178620064,0.371472804,0.538666326,20,0,0,0.022123386,0.062748333,-0.007243737,0.051490509,14,6,0
adversarial,high,spread,binpack,20,0.195000000,0.732346625,-0.147748762,0.537748762,10,10,0,0.649402413,1.151406095,0.110527787,1.188277039,13,7,0,-0.368016918,0.914295637,-0.795920436,0.059886601,10,10,0,-3.950000000,14.641235927,-10.802309164,2.902309164,8,11,1,0.006528287,0.024149808,-0.004774170,0.017830745,10,10,0,-0.002883423,0.005443848,-0.005431222,-0.000335623,6,14,0,0.003810387,0.007383584,0.000354764,0.007266011,10,10,0,-9.587829224,22.865211114,-20.289077153,1.113418705,10,10,0,0.997020830,0.161578179,0.921399916,1.072641743,20,0,0,-0.028456726,0.081495595,-0.066597838,0.009684385,9,11,0
adversarial,high,tetris,binpack,20,0.630000000,0.541401690,0.376616216,0.883383784,18,1,1,0.716177726,1.460377936,0.032699831,1.399655620,14,6,0,-1.140102527,0.458412256,-1.354646062,-0.925558993,0,20,0,-4.950000000,17.527347054,-13.153050714,3.253050714,8,11,1,0.020803824,0.017650097,0.012543324,0.029064324,18,1,1,-0.006889187,0.011263354,-0.012160599,-0.001617775,9,11,0,0.009407088,0.005981189,0.006607805,0.012206370,20,0,0,-33.346682422,9.876820515,-37.969176592,-28.724188251,0,20,0,0.677878338,0.154536489,0.605553037,0.750203639,20,0,0,-0.075101410,0.155523924,-0.147888845,-0.002313975,6,14,0
adversarial,low,hybrid,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.094991532,0.139677331,0.029620530,0.160362533,14,5,1,-0.002197662,0.027337528,-0.014992019,0.010596694,13,7,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,-0.000000000,0.000000000,-0.000000000,0.000000000,0,0,20,-0.000000000,0.000000000,-0.000000000,0.000000000,0,0,20,-0.035010451,0.445104068,-0.243325562,0.173304660,13,7,0,3.303977553,1.467960642,2.616950842,3.991004263,20,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
adversarial,low,spread,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.246263210,0.193557171,0.155675668,0.336850753,19,1,0,0.023947100,0.040927712,0.004792341,0.043101858,15,5,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,-0.000000000,0.000000000,-0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,-0.000000000,0.000000000,0,0,20,0.385730207,0.667562209,0.073301485,0.698158930,15,5,0,5.256129361,0.747919744,4.906092155,5.606166567,20,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
adversarial,low,tetris,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.565024077,0.462330679,0.348646665,0.781401490,17,3,0,0.069982375,0.086635955,0.029435501,0.110529249,14,6,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,-0.000000000,0.000000000,0,0,20,-0.000000000,0.000000000,-0.000000000,0.000000000,0,0,20,1.148694698,1.432692310,0.478174074,1.819215322,14,6,0,4.494518352,0.898586265,4.073967046,4.915069658,20,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
adversarial,med,hybrid,binpack,20,0.014000000,0.069008009,-0.018296741,0.046296741,8,8,4,-0.074084252,0.276885020,-0.203670427,0.055501923,11,9,0,-0.112588115,0.161120172,-0.187994675,-0.037181556,4,16,0,-1.850000000,6.458572435,-4.872704866,1.172704866,5,8,7,0.000580526,0.002989713,-0.000818703,0.001979754,8,8,4,0.001228247,0.003709003,-0.000507620,0.002964113,12,8,0,-0.000014973,0.001199167,-0.000576201,0.000546254,9,11,0,-2.524031123,3.561382263,-4.190809286,-0.857252961,4,16,0,0.595519543,0.235582333,0.485263620,0.705775465,20,0,0,0.024167864,0.061866482,-0.004786540,0.053122268,10,4,6
adversarial,med,spread,binpack,20,-0.078000000,0.134696540,-0.141039920,-0.014960080,5,15,0,0.313346940,0.522598659,0.068763245,0.557930635,15,5,0,0.007150122,0.350918698,-0.157084879,0.171385124,11,9,0,5.850000000,11.127372603,0.642229451,11.057770549,11,3,6,-0.003406278,0.005892688,-0.006164141,-0.000648415,5,15,0,-0.003326190,0.004939651,-0.005638018,-0.001014362,7,13,0,-0.000814938,0.001573868,-0.001551531,-0.000078346,7,13,0,-0.043484562,7.983613731,-3.779930707,3.692961582,11,9,0,1.300056187,0.212743439,1.200489195,1.399623179,20,0,0,-0.035125431,0.057058510,-0.061829635,-0.008421227,3,13,4
adversarial,med,tetris,binpack,20,-0.182000000,0.213235723,-0.281797388,-0.082202612,4,15,1,0.662986581,0.849923442,0.265210176,1.060762986,15,5,0,-0.002990471,0.364886142,-0.173762438,0.167781495,10,10,0,11.550000000,18.248215486,3.009572483,20.090427517,11,4,5,-0.007932214,0.009241539,-0.012257388,-0.003607041,4,15,1,-0.010170081,0.011234309,-0.015427899,-0.004912263,4,16,0,-0.004437701,0.003512847,-0.006081764,-0.002793639,1,19,0,-0.443139550,8.054334521,-4.212684042,3.326404942,10,10,0,0.885170948,0.203974050,0.789708157,0.980633740,20,0,0,-0.096692969,0.127337829,-0.156288906,-0.037097032,4,13,3
balanced,high,hybrid,binpack,20,0.067000000,0.197912793,-0.025626036,0.159626036,11,7,2,0.215208026,0.948481843,-0.228695129,0.659111180,12,8,0,-0.086613661,0.231107818,-0.194775447,0.021548124,7,13,0,-4.450000000,11.250614018,-9.715449305,0.815449305,7,12,1,0.002232482,0.006598765,-0.000855835,0.005320799,11,7,2,-0.002200190,0.004054860,-0.004097923,-0.000302458,6,14,0,-0.001316257,0.002433406,-0.002455126,-0.000177388,6,14,0,-2.918290974,5.190459153,-5.347500570,-0.489081378,4,16,0,0.473198570,0.342118758,0.313082067,0.633315073,20,0,0,-0.046141262,0.095290339,-0.090738512,-0.001544012,6,14,0
balanced,high,spread,binpack,20,0.082000000,0.212840439,-0.017612389,0.181612389,12,7,1,0.427104383,0.774303090,0.064719391,0.789489374,15,5,0,-0.116332041,0.258753525,-0.237432415,0.004768333,3,17,0,-5.750000000,12.234012123,-11.475693773,-0.024306227,7,12,1,0.002702953,0.007113545,-0.000626288,0.006032195,12,7,1,-0.002420070,0.004500089,-0.004526176,-0.000313963,7,13,0,-0.001444239,0.002674336,-0.002695867,-0.000192611,7,13,0,-3.572887581,5.798802011,-6.286810392,-0.858964771,3,17,0,1.751132769,0.228634107,1.644128716,1.858136823,20,0,0,-0.067679817,0.083324644,-0.106676950,-0.028682684,4,16,0
balanced,high,tetris,binpack,20,0.090000000,0.219712731,-0.012828721,0.192828721,13,6,1,0.144019791,0.840132957,-0.249174526,0.537214108,12,8,0,-0.097226725,0.243312129,-0.211100304,0.016646853,6,14,0,-5.850000000,12.679344994,-11.784115967,0.084115967,8,12,0,0.002942786,0.007333723,-0.000489502,0.006375074,13,6,1,-0.002781870,0.004084231,-0.004693349,-0.000870391,5,15,0,-0.001633394,0.002434866,-0.002772946,-0.000493842,5,15,0,-3.471955525,5.803625647,-6.188135866,-0.755775183,4,16,0,1.218238420,0.719884790,0.881321976,1.555154864,20,0,0,-0.075764215,0.075611211,-0.111151350,-0.040377080,2,18,0
balanced,low,hybrid,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000345018,0.001159391,-0.000197594,0.000887630,2,0,18,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,-0.000029982,0.000099686,-0.000076636,0.000016673,0,2,18,-0.000016398,0.000053407,-0.000041393,0.000008597,0,2,18,0.006055336,0.020366845,-0.003476641,0.015587312,2,0,18,4.571983465,1.707619747,3.772792844,5.371174087,20,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
balanced,low,spread,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000388856,0.002015756,-0.000554547,0.001332258,1,1,18,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,-0.000036138,0.000188304,-0.000124267,0.000051991,1,1,18,-0.000022092,0.000112670,-0.000074823,0.000030639,1,1,18,0.006791641,0.035239772,-0.009701079,0.023284362,1,1,18,7.424847936,1.122836326,6.899344373,7.950351498,20,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
balanced,low,tetris,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000387828,0.002016566,-0.000555954,0.001331610,1,1,18,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,-0.000037649,0.000187214,-0.000125268,0.000049970,1,1,18,-0.000022883,0.000112147,-0.000075369,0.000029604,1,1,18,0.006773572,0.035254067,-0.009725839,0.023272983,1,1,18,6.360298488,2.042478968,5.404388931,7.316208046,20,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
balanced,med,hybrid,binpack,20,-0.075000000,0.085316747,-0.114929466,-0.035070534,3,17,0,0.464898913,0.466055666,0.246778153,0.683019673,16,4,0,0.124012502,0.074046229,0.089357801,0.158667203,20,0,0,3.650000000,5.724140938,0.971019646,6.328980354,13,4,3,-0.003250742,0.003706025,-0.004985215,-0.001516269,3,17,0,-0.005618235,0.003586481,-0.007296760,-0.003939710,1,19,0,-0.003350453,0.002165383,-0.004363883,-0.002337023,1,19,0,2.618443970,1.567398219,1.884879043,3.352008898,20,0,0,0.699945481,0.517655507,0.457675253,0.942215710,20,0,0,-0.097934074,0.125185814,-0.156522837,-0.039345311,4,16,0
balanced,med,spread,binpack,20,-0.070000000,0.070636207,-0.103058761,-0.036941239,2,18,0,0.330554924,0.375880206,0.154637577,0.506472270,18,2,0,0.116438011,0.077154571,0.080328561,0.152547461,18,2,0,3.600000000,4.672427522,1.413236664,5.786763336,17,2,1,-0.003043434,0.003126273,-0.004506575,-0.001580293,2,18,0,-0.005289324,0.003684787,-0.007013857,-0.003564791,1,19,0,-0.003162164,0.002203724,-0.004193538,-0.002130789,1,19,0,2.440456992,1.569009296,1.706138056,3.174775927,19,1,0,2.387721974,0.366822294,2.216043861,2.559400088,20,0,0,-0.103803110,0.097022589,-0.149211078,-0.058395142,3,17,0
