family,cluster_config,load,policy,baseline,n_pairs,n_seed_blocks,mean_delta_throughput_horizon,sd_delta_throughput_horizon,ci95_low_delta_throughput_horizon,ci95_high_delta_throughput_horizon,wins_throughput_horizon,losses_throughput_horizon,ties_throughput_horizon,mean_delta_p95_wait_time,sd_delta_p95_wait_time,ci95_low_delta_p95_wait_time,ci95_high_delta_p95_wait_time,wins_p95_wait_time,losses_p95_wait_time,ties_p95_wait_time,mean_delta_mean_wait_time,sd_delta_mean_wait_time,ci95_low_delta_mean_wait_time,ci95_high_delta_mean_wait_time,wins_mean_wait_time,losses_mean_wait_time,ties_mean_wait_time,mean_delta_queued_at_horizon,sd_delta_queued_at_horizon,ci95_low_delta_queued_at_horizon,ci95_high_delta_queued_at_horizon,wins_queued_at_horizon,losses_queued_at_horizon,ties_queued_at_horizon,mean_delta_completion_ratio_horizon,sd_delta_completion_ratio_horizon,ci95_low_delta_completion_ratio_horizon,ci95_high_delta_completion_ratio_horizon,wins_completion_ratio_horizon,losses_completion_ratio_horizon,ties_completion_ratio_horizon,mean_delta_time_weighted_cpu_utilization,sd_delta_time_weighted_cpu_utilization,ci95_low_delta_time_weighted_cpu_utilization,ci95_high_delta_time_weighted_cpu_utilization,wins_time_weighted_cpu_utilization,losses_time_weighted_cpu_utilization,ties_time_weighted_cpu_utilization,mean_delta_time_weighted_ram_utilization,sd_delta_time_weighted_ram_utilization,ci95_low_delta_time_weighted_ram_utilization,ci95_high_delta_time_weighted_ram_utilization,wins_time_weighted_ram_utilization,losses_time_weighted_ram_utilization,ties_time_weighted_ram_utilization,mean_delta_time_weighted_queue_length,sd_delta_time_weighted_queue_length,ci95_low_delta_time_weighted_queue_length,ci95_high_delta_time_weighted_queue_length,wins_time_weighted_queue_length,losses_time_weighted_queue_length,ties_time_weighted_queue_length,mean_delta_time_weighted_active_nodes,sd_delta_time_weighted_active_nodes,ci95_low_delta_time_weighted_active_nodes,ci95_high_delta_time_weighted_active_nodes,wins_time_weighted_active_nodes,losses_time_weighted_active_nodes,ties_time_weighted_active_nodes,mean_delta_drained_throughput,sd_delta_drained_throughput,ci95_low_delta_drained_throughput,ci95_high_delta_drained_throughput,wins_drained_throughput,losses_drained_throughput,ties_drained_throughput
balanced,homog,low,spread,binpack,10,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000888779,0.002810565,-0.001121778,0.002899336,1,0,9,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,-0.000082970,0.000262373,-0.000270660,0.000104721,0,1,9,-0.000049782,0.000157424,-0.000162396,0.000062832,0,1,9,0.015535851,0.049128673,-0.019608685,0.050680386,1,0,9,8.215232867,0.710804080,7.706754260,8.723711474,10,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10
balanced,homog,low,tetris,binpack,10,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000888779,0.002810565,-0.001121778,0.002899336,1,0,9,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,-0.000082970,0.000262373,-0.000270660,0.000104721,0,1,9,-0.000049782,0.000157424,-0.000162396,0.000062832,0,1,9,0.015535851,0.049128673,-0.019608685,0.050680386,1,0,9,8.215232867,0.710804080,7.706754260,8.723711474,10,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10
balanced,homog,low,hybrid,binpack,10,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000201616,0.000637566,-0.000254471,0.000657703,1,0,9,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,-0.000018361,0.000058063,-0.000059897,0.000023175,0,1,9,-0.000011017,0.000034838,-0.000035938,0.000013905,0,1,9,0.003524246,0.011144645,-0.004448153,0.011496645,1,0,9,6.101731063,0.763788968,5.555349351,6.648112776,10,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10
balanced,homog,med,spread,binpack,10,10,-0.114000000,0.060406034,-0.157211873,-0.070788127,0,10,0,0.556628828,0.248739811,0.378691086,0.734566569,10,0,0,0.168036209,0.047748950,0.133878668,0.202193750,10,0,0,5.200000000,4.211096453,2.187563071,8.212436929,9,0,1,-0.004975226,0.002757927,-0.006948129,-0.003002324,0,10,0,-0.008050987,0.002725625,-0.010000782,-0.006101193,0,10,0,-0.004830592,0.001635375,-0.006000469,-0.003660716,0,10,0,3.511648560,0.976641579,2.813001262,4.210295858,10,0,0,2.572143290,0.282041625,2.370382866,2.773903714,10,0,0,-0.173663844,0.079386308,-0.230453388,-0.116874301,0,10,0
balanced,homog,med,tetris,binpack,10,10,-0.114000000,0.060406034,-0.157211873,-0.070788127,0,10,0,0.556628828,0.248739811,0.378691086,0.734566569,10,0,0,0.168036209,0.047748950,0.133878668,0.202193750,10,0,0,5.200000000,4.211096453,2.187563071,8.212436929,9,0,1,-0.004975226,0.002757927,-0.006948129,-0.003002324,0,10,0,-0.008050987,0.002725625,-0.010000782,-0.006101193,0,10,0,-0.004830592,0.001635375,-0.006000469,-0.003660716,0,10,0,3.511648560,0.976641579,2.813001262,4.210295858,10,0,0,2.572143290,0.282041625,2.370382866,2.773903714,10,0,0,-0.173663844,0.079386308,-0.230453388,-0.116874301,0,10,0
balanced,homog,med,hybrid,binpack,10,10,-0.114000000,0.078343971,-0.170043901,-0.057956099,1,9,0,0.725016481,0.430480524,0.417069266,1.032963697,10,0,0,0.174628478,0.054436338,0.135687068,0.213569889,10,0,0,6.100000000,4.863697725,2.620720244,9.579279756,7,0,3,-0.004963419,0.003406026,-0.007399943,-0.002526894,1,9,0,-0.008536571,0.002170871,-0.010089518,-0.006983623,0,10,0,-0.005121942,0.001302523,-0.006053711,-0.004190174,0,10,0,3.680256333,1.164463286,2.847249479,4.513263186,10,0,0,1.139096923,0.236349114,0.970022952,1.308170894,10,0,0,-0.178699129,0.084992142,-0.239498844,-0.117899413,0,10,0
balanced,homog,high,spread,binpack,10,10,0.054000000,0.257690598,-0.130340749,0.238340749,5,4,1,0.523220225,0.839193465,-0.077102615,1.123543066,8,2,0,-0.065006201,0.283947885,-0.268130282,0.138117879,3,7,0,-4.700000000,13.816656614,-14.583840726,5.183840726,5,5,0,0.001760900,0.008613126,-0.004400559,0.007922359,5,4,1,-0.004289730,0.005039887,-0.007895048,-0.000684411,2,8,0,-0.002573838,0.003023932,-0.004737029,-0.000410647,2,8,0,-2.781856183,6.295378856,-7.285298924,1.721586557,3,7,0,1.907735075,0.150637415,1.799975560,2.015494590,10,0,0,-0.114807693,0.069820714,-0.164754423,-0.064860963,0,10,0
balanced,homog,high,tetris,binpack,10,10,0.054000000,0.257690598,-0.130340749,0.238340749,5,4,1,0.523220225,0.839193465,-0.077102615,1.123543066,8,2,0,-0.065006201,0.283947885,-0.268130282,0.138117879,3,7,0,-4.700000000,13.816656614,-14.583840726,5.183840726,5,5,0,0.001760900,0.008613126,-0.004400559,0.007922359,5,4,1,-0.004289730,0.005039887,-0.007895048,-0.000684411,2,8,0,-0.002573838,0.003023932,-0.004737029,-0.000410647,2,8,0,-2.781856183,6.295378856,-7.285298924,1.721586557,3,7,0,1.907735075,0.150637415,1.799975560,2.015494590,10,0,0,-0.114807693,0.069820714,-0.164754423,-0.064860963,0,10,0
balanced,homog,high,hybrid,binpack,10,10,0.036000000,0.251714124,-0.144065437,0.216065437,4,5,1,0.166611857,1.242609602,-0.722297503,1.055521217,6,4,0,-0.021526360,0.262826330,-0.209540990,0.166488271,5,5,0,-3.200000000,13.652838533,-12.966652330,6.566652330,4,5,1,0.001178802,0.008436123,-0.004856037,0.007213640,4,5,1,-0.003565772,0.004813971,-0.007009479,-0.000122065,1,9,0,-0.002139463,0.002888382,-0.004205687,-0.000073239,1,9,0,-1.805243570,5.847297294,-5.988148070,2.377660930,3,7,0,0.801005605,0.061988323,0.756661830,0.845349380,10,0,0,-0.068989341,0.092226574,-0.134964258,-0.003014425,2,8,0
balanced,hetero,low,spread,binpack,10,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,-0.000111068,0.000351226,-0.000362320,0.000140185,0,1,9,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000010693,0.000033816,-0.000013497,0.000034884,1,0,9,0.000005598,0.000017703,-0.000007066,0.000018262,1,0,9,-0.001952568,0.006174561,-0.006369583,0.002464447,0,1,9,6.634463005,0.876426972,6.007504918,7.261421091,10,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10
