split,family,cluster_config,load,policy,seed,target_rho,realized_rho_cpu,realized_rho_ram,realized_rho,arrival_rate,observation_horizon,duration_min,duration_max,submitted,feasible_jobs,permanently_infeasible,started_by_horizon,completed_by_horizon,running_at_horizon,queued_at_horizon,admission_ratio_horizon,completion_ratio_horizon,throughput_horizon,mean_wait_time,p95_wait_time,mean_turnaround_time,p95_turnaround_time,mean_slowdown,p95_slowdown,time_weighted_cpu_utilization,time_weighted_ram_utilization,time_weighted_queue_length,time_weighted_active_nodes,horizon_active_nodes,horizon_cpu_utilization,horizon_ram_utilization,horizon_free_imbalance,makespan,drained_throughput,params
test,adversarial,homog,low,binpack,1000,0.7,0.7136663077485876,0.42556140782476914,0.7136663077485876,16.128,50.0,8.0,12.0,825,825,0,825,659,166,0,1.0,0.7987878787878788,13.18,0.15617877353658866,1.22567367152379,10.091473737319088,11.94168225563692,1.0160282024324865,1.1368227133734132,0.685801111584476,0.4087936578480767,2.576949763353712,24.038896401315732,14,0.28611111111111115,0.17416666666666666,0.11194444444444444,61.79685552500513,13.350193840626352,{}
test,adversarial,homog,low,spread,1000,0.7,0.7136663077485876,0.42556140782476914,0.7136663077485876,16.128,50.0,8.0,12.0,825,825,0,825,659,166,0,1.0,0.7987878787878788,13.18,0.24445900884249971,1.7363370827515823,10.179753972625,12.237852310089018,1.0249633842721788,1.172337644882855,0.6858011115844753,0.40879365784807725,4.033573645901246,29.317000291164266,30,0.28611111111111115,0.17416666666666666,0.13388888888888892,61.79685552500513,13.350193840626352,{}
test,adversarial,homog,low,tetris,1000,0.7,0.7136663077485876,0.42556140782476914,0.7136663077485876,16.128,50.0,8.0,12.0,825,825,0,825,659,166,0,1.0,0.7987878787878788,13.18,0.3408820716504619,2.453785728478838,10.276177035432962,12.805328593355288,1.0346886095331302,1.2536644645488795,0.6858011115844768,0.4087936578480768,5.624554182232616,28.747634739159203,30,0.28611111111111115,0.17416666666666666,0.11194444444444443,61.79685552500513,13.350193840626352,{}
test,adversarial,homog,low,hybrid,1000,0.7,0.7136663077485876,0.42556140782476914,0.7136663077485876,16.128,50.0,8.0,12.0,825,825,0,825,659,166,0,1.0,0.7987878787878788,13.18,0.1707102720385208,1.3295031498656655,10.106005235821021,11.964444337392997,1.0174910785806133,1.1361204204049729,0.685801111584476,0.4087936578480771,2.816719488635592,28.304656729921007,30,0.28611111111111115,0.17416666666666666,0.11194444444444447,61.79685552500513,13.350193840626352,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,adversarial,homog,low,binpack,1001,0.7,0.700363350401653,0.4200977561848874,0.700363350401653,16.128,50.0,8.0,12.0,803,803,0,803,652,151,0,1.0,0.8119551681195517,13.04,0.10209805647883544,1.093617871883497,10.123123326774124,11.914805487400528,1.010272649486776,1.1101860258238172,0.6744147480226084,0.4038342911194865,1.6396947870500975,23.945800796464678,10,0.2569444444444444,0.16041666666666668,0.10125,60.67168807650542,13.235168254877594,{}
test,adversarial,homog,low,spread,1001,0.7,0.700363350401653,0.4200977561848874,0.700363350401653,16.128,50.0,8.0,12.0,803,803,0,803,652,151,0,1.0,0.8119551681195517,13.04,0.14055931161389804,1.2347072609549912,10.161584581909185,11.94602954662627,1.0141383882064001,1.1197968083481542,0.6744147480226084,0.40383429111948677,2.257382544519204,29.46757199200377,30,0.2569444444444445,0.16041666666666668,0.13013888888888892,60.67168807650542,13.235168254877594,{}
test,adversarial,homog,low,tetris,1001,0.7,0.700363350401653,0.4200977561848874,0.700363350401653,16.128,50.0,8.0,12.0,803,803,0,803,652,151,0,1.0,0.8119551681195517,13.04,0.19868137522474785,1.8056408032372566,10.219706645520036,12.040807842895758,1.0199553210094365,1.1884359317667519,0.6744147480226084,0.40383429111948677,3.1908228861094505,28.822720430554718,30,0.2569444444444444,0.16041666666666668,0.09652777777777777,60.67168807650542,13.235168254877594,{}
test,adversarial,homog,low,hybrid,1001,0.7,0.700363350401653,0.4200977561848874,0.700363350401653,16.128,50.0,8.0,12.0,803,803,0,803,652,151,0,1.0,0.8119551681195517,13.04,0.11793051753463751,1.101035492929265,10.138955787829925,11.932784499560142,1.0118907747889332,1.115821063218959,0.6744147480226087,0.40383429111948665,1.893964111606278,28.127764399760444,27,0.2569444444444444,0.16041666666666668,0.10652777777777782,60.67168807650542,13.235168254877594,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,adversarial,homog,low,binpack,1002,0.7,0.6980212246390205,0.41633059628760255,0.6980212246390205,16.128,50.0,8.0,12.0,803,803,0,803,641,162,0,1.0,0.7982565379825654,12.82,0.2547359916243405,2.1648989636516607,10.229059348565471,12.148097258800039,1.0259093419923058,1.2304404095934547,0.6679020651725684,0.39818057684157365,4.091060025486906,23.276538534628084,12,0.2833333333333333,0.1675,0.11583333333333333,61.30076799054342,13.099346489816817,{}
test,adversarial,homog,low,spread,1002,0.7,0.6980212246390205,0.41633059628760255,0.6980212246390205,16.128,50.0,8.0,12.0,803,803,0,803,641,162,0,1.0,0.7982565379825654,12.82,0.3083579891834182,2.3950669681752466,10.282681346124548,12.59514914607642,1.0313299965674625,1.2479853065121431,0.6679020651725679,0.39818057684157354,4.952229306285695,29.513936369376466,30,0.2833333333333333,0.1675,0.1275,61.30076799054342,13.099346489816817,{}
test,adversarial,homog,low,tetris,1002,0.7,0.6980212246390205,0.41633059628760255,0.6980212246390205,16.128,50.0,8.0,12.0,803,803,0,803,641,162,0,1.0,0.7982565379825654,12.82,0.39881457255365893,3.448237375550409,10.373137929494789,13.100005610559169,1.040673786048491,1.3276104383523675,0.6679020651725684,0.3981805768415734,6.4049620352117635,28.827356298984938,30,0.2833333333333333,0.1675,0.11583333333333332,61.30076799054342,13.099346489816817,{}
test,adversarial,homog,low,hybrid,1002,0.7,0.6980212246390205,0.41633059628760255,0.6980212246390205,16.128,50.0,8.0,12.0,803,803,0,803,641,162,0,1.0,0.7982565379825654,12.82,0.2616603025309763,2.1597037470671303,10.235983659472106,12.35498754725896,1.0266125737994252,1.2295835189926736,0.6679020651725684,0.3981805768415734,4.202264458647479,28.332328037177753,29,0.2833333333333333,0.1675,0.11583333333333332,61.30076799054342,13.099346489816817,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,adversarial,homog,low,binpack,1003,0.7,0.6607965615922003,0.39655561603306505,0.6607965615922003,16.128,50.0,8.0,12.0,761,761,0,761,587,174,0,1.0,0.771353482260184,11.74,0.050110741004716824,0.5276213100770271,10.039125531490026,11.900487922787786,1.0049553330382737,1.0465873911763415,0.6277994283065224,0.3768796959378779,0.7626854780917904,22.559590072271657,11,0.30520833333333336,0.179375,0.12583333333333332,61.04014451935472,12.467205082692765,{}
test,adversarial,homog,low,spread,1003,0.7,0.6607965615922003,0.39655561603306505,0.6607965615922003,16.128,50.0,8.0,12.0,761,761,0,761,587,174,0,1.0,0.771353482260184,11.74,0.09213284228120106,0.9797429674905267,10.081147632766509,11.91304003297629,1.0091233459417075,1.1016621096903885,0.6277994283065227,0.37687969593787807,1.40226185951988,29.54839923178984,30,0.30520833333333336,0.17937499999999998,0.15444444444444447,61.04014451935472,12.467205082692765,{}
test,adversarial,homog,low,tetris,1003,0.7,0.6607965615922003,0.39655561603306505,0.6607965615922003,16.128,50.0,8.0,12.0,761,761,0,761,587,174,0,1.0,0.771353482260184,11.74,0.13358927044840582,1.2942015911162486,10.122604060933714,11.933182390505237,1.0133502656996993,1.1383226480110251,0.627799428306523,0.3768796959378778,2.0332286962247377,28.932857979694678,30,0.30520833333333336,0.17937499999999998,0.1258333333333333,61.04014451935472,12.467205082692765,{}
test,adversarial,homog,low,hybrid,1003,0.7,0.6607965615922003,0.39655561603306505,0.6607965615922003,16.128,50.0,8.0,12.0,761,761,0,761,587,174,0,1.0,0.771353482260184,11.74,0.055953449873481775,0.5529247343603672,10.04496824035879,11.902607944883314,1.0055567957516296,1.0546687864411064,0.6277994283065229,0.37687969593787807,0.8516115070743924,28.452244264450133,30,0.30520833333333336,0.17937499999999998,0.1325,61.04014451935472,12.467205082692765,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,adversarial,homog,low,binpack,1004,0.7,0.704527975763143,0.4250699485705226,0.704527975763143,16.128,50.0,8.0,12.0,809,809,0,809,654,155,0,1.0,0.8084054388133498,13.08,0.13678515594221913,1.3918657712214628,10.173241337385615,11.96122990248152,1.0137433016012238,1.1342969412923796,0.6773215428341739,0.4089122553744008,2.2131838231451053,24.27611570776657,13,0.2638888888888889,0.16458333333333333,0.09930555555555555,61.75579222787554,13.099985779711702,{}
test,adversarial,homog,low,spread,1004,0.7,0.704527975763143,0.4250699485705226,0.704527975763143,16.128,50.0,8.0,12.0,809,809,0,809,654,155,0,1.0,0.8084054388133498,13.08,0.18783824729742393,1.6617555951387981,10.22429442874082,11.995839389743473,1.0189228084484263,1.1649883592925447,0.6773215428341739,0.40891225537440107,3.0392228412723217,29.293731246454534,30,0.2638888888888889,0.16458333333333333,0.11708333333333334,61.75579222787554,13.099985779711702,{}
test,adversarial,homog,low,tetris,1004,0.7,0.704527975763143,0.4250699485705226,0.704527975763143,16.128,50.0,8.0,12.0,809,809,0,809,654,155,0,1.0,0.8084054388133498,13.08,0.2452619626802279,2.178715792237357,10.281718144123623,12.22951645433072,1.0250913273141844,1.2134445025283658,0.6773215428341739,0.40891225537440107,3.968338556166085,28.626495309264055,30,0.2638888888888889,0.16458333333333333,0.09930555555555555,61.75579222787554,13.099985779711702,{}
test,adversarial,homog,low,hybrid,1004,0.7,0.704527975763143,0.4250699485705226,0.704527975763143,16.128,50.0,8.0,12.0,809,809,0,809,654,155,0,1.0,0.8084054388133498,13.08,0.14406309234295436,1.5526666881757585,10.180519273786352,11.96122990248152,1.0144519767122628,1.1505256171746956,0.6773215428341741,0.4089122553744008,2.3309408341090005,28.139844923076122,26,0.2638888888888889,0.16458333333333333,0.09930555555555558,61.75579222787554,13.099985779711702,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,adversarial,homog,low,binpack,1005,0.7,0.7065785967749073,0.4216946111094242,0.7065785967749073,16.128,50.0,8.0,12.0,811,811,0,811,655,156,0,1.0,0.8076448828606658,13.1,0.21604262996072437,1.6743471548441846,10.226247532897082,12.080130698036502,1.02175635505399,1.1701965852916572,0.676344345341181,0.40343720123773585,3.504211457962949,23.79603500348133,10,0.27291666666666664,0.16125,0.11361111111111111,61.36974442003305,13.214980894319378,{}
test,adversarial,homog,low,spread,1005,0.7,0.7065785967749073,0.4216946111094242,0.7065785967749073,16.128,50.0,8.0,12.0,811,811,0,811,655,156,0,1.0,0.8076448828606658,13.1,0.29971920657516,2.1133809511150954,10.309924109511517,12.406617659930056,1.0302991197530307,1.2138225971678487,0.6763443453411804,0.4034372012377356,4.8614455306490925,29.401791517723158,30,0.27291666666666664,0.16125,0.12972222222222224,61.36974442003305,13.214980894319378,{}
test,adversarial,homog,low,tetris,1005,0.7,0.7065785967749073,0.4216946111094242,0.7065785967749073,16.128,50.0,8.0,12.0,811,811,0,811,655,156,0,1.0,0.8076448828606658,13.1,0.4132393491413719,2.6767724617816384,10.42344425207773,13.033362738280033,1.041758249692442,1.262016280887125,0.6763443453411813,0.4034372012377354,6.702742243073044,28.88437202171922,30,0.27291666666666664,0.16125,0.11166666666666665,61.36974442003305,13.214980894319378,{}
test,adversarial,homog,low,hybrid,1005,0.7,0.7065785967749073,0.4216946111094242,0.7065785967749073,16.128,50.0,8.0,12.0,811,811,0,811,655,156,0,1.0,0.8076448828606658,13.1,0.24160421835301973,1.8571997259914426,10.251809121289376,12.18506448367151,1.024365943288949,1.1882668775356933,0.6763443453411804,0.4034372012377353,3.918820421685981,28.053804823313207,29,0.27291666666666664,0.16125,0.11361111111111112,61.36974442003305,13.214980894319378,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,adversarial,homog,low,binpack,1006,0.7,0.7031636759294904,0.42171159186905965,0.7031636759294904,16.128,50.0,8.0,12.0,809,809,0,809,650,159,0,1.0,0.8034610630407911,13.0,0.12967818369304712,1.1834084575920798,10.165378876094303,11.944597269436237,1.0134468250822422,1.120070390787088,0.6741673144909841,0.404645442311636,2.098193012153503,24.181347161096642,11,0.27708333333333335,0.165,0.11208333333333333,61.9209388564298,13.065047380430576,{}
test,adversarial,homog,low,spread,1006,0.7,0.7031636759294904,0.42171159186905965,0.7031636759294904,16.128,50.0,8.0,12.0,809,809,0,809,650,159,0,1.0,0.8034610630407911,13.0,0.18747611483908244,1.6220187797220493,10.223176807240339,11.974492721751684,1.0193814919542852,1.1603149777660877,0.6741673144909847,0.4046454423116364,3.0333635380963546,29.550600937048213,30,0.27708333333333335,0.165,0.1429166666666667,61.9209388564298,13.065047380430576,{}
test,adversarial,homog,low,tetris,1006,0.7,0.7031636759294904,0.42171159186905965,0.7031636759294904,16.128,50.0,8.0,12.0,809,809,0,809,650,159,0,1.0,0.8034610630407911,13.0,0.24017203785316488,2.2057196999348765,10.275872730254418,12.118558044891149,1.0248437898732112,1.2250102792999684,0.6741673144909845,0.4046454423116361,3.885983572464209,28.97896395451443,30,0.27708333333333335,0.165,0.11208333333333333,61.9209388564298,13.065047380430576,{}
test,adversarial,homog,low,hybrid,1006,0.7,0.7031636759294904,0.42171159186905965,0.7031636759294904,16.128,50.0,8.0,12.0,809,809,0,809,650,159,0,1.0,0.8034610630407911,13.0,0.14956059173509514,1.4820718409685991,10.18526128413635,11.95461115849375,1.0153874574717685,1.1410574999093477,0.6741673144909839,0.4046454423116361,2.4198903742738405,28.491977292986068,27,0.27708333333333335,0.165,0.11208333333333335,61.9209388564298,13.065047380430576,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,adversarial,homog,low,binpack,1007,0.7,0.7637550315446133,0.4573835220779435,0.7637550315446133,16.128,50.0,8.0,12.0,874,874,0,874,669,205,0,1.0,0.7654462242562929,13.38,0.10458653416410309,1.0637777960492407,10.126723005028207,11.928299916251746,1.0107065482439381,1.1012353328661073,0.7279677926399687,0.4357461038150136,1.828172617188522,25.168651351845526,17,0.3689236111111111,0.22135416666666666,0.14756944444444448,61.32978647878831,14.250824113047974,{}
test,adversarial,homog,low,spread,1007,0.7,0.7637550315446133,0.4573835220779435,0.7637550315446133,16.128,50.0,8.0,12.0,874,874,0,874,669,205,0,1.0,0.7654462242562929,13.38,0.13000800632276277,1.2580551105619975,10.152144477186868,11.935951700163145,1.013315883893356,1.1222169055329387,0.7279677926399692,0.4357461038150139,2.2725399505218924,29.35929431482329,30,0.3689236111111111,0.22135416666666666,0.16729166666666667,61.32978647878831,14.250824113047974,{}
test,adversarial,homog,low,tetris,1007,0.7,0.7637550315446133,0.4573835220779435,0.7637550315446133,16.128,50.0,8.0,12.0,874,874,0,874,669,205,0,1.0,0.7654462242562929,13.38,0.2859557539229442,2.0112080235330296,10.308092224787048,12.500038910324825,1.0290305596700169,1.2058369667896531,0.7279677926399681,0.435746103815014,4.998506578573062,28.642043950226316,30,0.3689236111111111,0.22135416666666666,0.15701388888888887,61.32978647878831,14.250824113047974,{}
test,adversarial,homog,low,hybrid,1007,0.7,0.7637550315446133,0.4573835220779435,0.7637550315446133,16.128,50.0,8.0,12.0,874,874,0,874,669,205,0,1.0,0.7654462242562929,13.38,0.10618936697492735,1.0373442762043474,10.128325837839034,11.92603136905931,1.0108522252058276,1.100738923668185,0.7279677926399689,0.43574610381501344,1.8561901347217307,28.18565896908893,28,0.3689236111111111,0.22135416666666666,0.14756944444444445,61.32978647878831,14.250824113047974,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,adversarial,homog,low,binpack,1008,0.7,0.6998981532202851,0.4172084841617461,0.6998981532202851,16.128,50.0,8.0,12.0,803,803,0,803,647,156,0,1.0,0.8057285180572852,12.94,0.10634015083272046,1.1894124708443172,10.08044987579659,11.95082415012007,1.0105900861017467,1.1110236115905108,0.6718383199356682,0.39975952372668105,1.7078228223734901,23.833091957604616,14,0.26875,0.16374999999999998,0.10694444444444445,61.54136139030328,13.048135138045941,{}
test,adversarial,homog,low,spread,1008,0.7,0.6998981532202851,0.4172084841617461,0.6998981532202851,16.128,50.0,8.0,12.0,803,803,0,803,647,156,0,1.0,0.8057285180572852,12.94,0.14732961063831254,1.2513286258464902,10.121439335602183,11.982054936877493,1.0146145022769684,1.1299577480945975,0.6718383199356682,0.3997595237266809,2.366113546851299,29.48752519109075,30,0.26875,0.16374999999999998,0.11555555555555558,61.54136139030328,13.048135138045941,{}
