split,family,cluster_config,load,policy,seed,target_rho,realized_rho_cpu,realized_rho_ram,realized_rho,arrival_rate,observation_horizon,duration_min,duration_max,submitted,feasible_jobs,permanently_infeasible,started_by_horizon,completed_by_horizon,running_at_horizon,queued_at_horizon,admission_ratio_horizon,completion_ratio_horizon,throughput_horizon,mean_wait_time,p95_wait_time,mean_turnaround_time,p95_turnaround_time,mean_slowdown,p95_slowdown,time_weighted_cpu_utilization,time_weighted_ram_utilization,time_weighted_queue_length,time_weighted_active_nodes,horizon_active_nodes,horizon_cpu_utilization,horizon_ram_utilization,horizon_free_imbalance,makespan,drained_throughput,params
test,bimodal,homog,low,binpack,1000,0.7,0.7094992254241255,0.42612049414426784,0.7094992254241255,16.128,50.0,8.0,12.0,825,825,0,825,659,166,0,1.0,0.7987878787878788,13.18,0.0,0.0,9.935294963782498,11.736798172747935,1.0,1.0000000000000004,0.6399044866151572,0.38687846565309847,0.0,21.700745025280945,25,0.7147569444444444,0.3982291666666667,0.32180555555555557,61.79685552500513,13.350193840626352,{}
test,bimodal,homog,low,spread,1000,0.7,0.7094992254241255,0.42612049414426784,0.7094992254241255,16.128,50.0,8.0,12.0,825,825,0,825,659,166,0,1.0,0.7987878787878788,13.18,0.0,0.0,9.935294963782498,11.736798172747935,1.0,1.0000000000000004,0.6399044866151572,0.38687846565309847,0.0,29.31700029116425,30,0.7147569444444444,0.3982291666666667,0.41041666666666665,61.79685552500513,13.350193840626352,{}
test,bimodal,homog,low,tetris,1000,0.7,0.7094992254241255,0.42612049414426784,0.7094992254241255,16.128,50.0,8.0,12.0,825,825,0,825,659,166,0,1.0,0.7987878787878788,13.18,0.0,0.0,9.935294963782498,11.736798172747935,1.0,1.0000000000000004,0.6399044866151572,0.38687846565309847,0.0,28.643782882127308,30,0.7147569444444444,0.3982291666666667,0.3165277777777778,61.79685552500513,13.350193840626352,{}
test,bimodal,homog,low,hybrid,1000,0.7,0.7094992254241255,0.42612049414426784,0.7094992254241255,16.128,50.0,8.0,12.0,825,825,0,825,659,166,0,1.0,0.7987878787878788,13.18,0.0,0.0,9.935294963782498,11.736798172747935,1.0,1.0000000000000004,0.6399044866151572,0.38687846565309847,0.0,28.212174942288275,30,0.7147569444444444,0.3982291666666667,0.3165277777777778,61.79685552500513,13.350193840626352,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,bimodal,homog,low,binpack,1001,0.7,0.6979539402600743,0.4196240332564134,0.6979539402600743,16.128,50.0,8.0,12.0,803,803,0,803,652,151,0,1.0,0.8119551681195517,13.04,0.0,0.0,10.021025270295288,11.80206045997937,1.0,1.0000000000000004,0.6262917732037416,0.3824180546073498,0.0,21.26591373122942,25,0.7085069444444444,0.35822916666666665,0.36777777777777776,60.67168807650542,13.235168254877594,{}
test,bimodal,homog,low,spread,1001,0.7,0.6979539402600743,0.4196240332564134,0.6979539402600743,16.128,50.0,8.0,12.0,803,803,0,803,652,151,0,1.0,0.8119551681195517,13.04,0.0,0.0,10.021025270295288,11.80206045997937,1.0,1.0000000000000004,0.6262917732037416,0.3824180546073498,0.0,29.468569584822273,30,0.7085069444444444,0.35822916666666665,0.4568055555555555,60.67168807650542,13.235168254877594,{}
test,bimodal,homog,low,tetris,1001,0.7,0.6979539402600743,0.4196240332564134,0.6979539402600743,16.128,50.0,8.0,12.0,803,803,0,803,652,151,0,1.0,0.8119551681195517,13.04,0.0,0.0,10.021025270295288,11.80206045997937,1.0,1.0000000000000004,0.6262917732037416,0.3824180546073498,0.0,29.029663168598553,30,0.7085069444444444,0.35822916666666665,0.3511111111111111,60.67168807650542,13.235168254877594,{}
test,bimodal,homog,low,hybrid,1001,0.7,0.6979539402600743,0.4196240332564134,0.6979539402600743,16.128,50.0,8.0,12.0,803,803,0,803,652,151,0,1.0,0.8119551681195517,13.04,0.0,0.0,10.021025270295288,11.80206045997937,1.0,1.0000000000000004,0.6262917732037416,0.3824180546073498,0.0,28.47067086820388,30,0.7085069444444444,0.35822916666666665,0.35027777777777774,60.67168807650542,13.235168254877594,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,bimodal,homog,low,binpack,1002,0.7,0.6979557373765761,0.4153793883947777,0.6979557373765761,16.128,50.0,8.0,12.0,803,803,0,803,641,162,0,1.0,0.7982565379825654,12.82,0.0,0.0,9.97432335694113,11.787864117778682,1.0,1.0000000000000004,0.6228156340262767,0.3712046889568182,0.0,20.916379688734754,23,0.6947916666666667,0.426875,0.2758333333333333,61.30076799054342,13.099346489816817,{}
test,bimodal,homog,low,spread,1002,0.7,0.6979557373765761,0.4153793883947777,0.6979557373765761,16.128,50.0,8.0,12.0,803,803,0,803,641,162,0,1.0,0.7982565379825654,12.82,0.0,0.0,9.97432335694113,11.787864117778682,1.0,1.0000000000000004,0.6228156340262767,0.3712046889568182,0.0,29.513936369376474,30,0.6947916666666667,0.426875,0.41333333333333333,61.30076799054342,13.099346489816817,{}
