split,family,cluster_config,load,policy,seed,target_rho,realized_rho_cpu,realized_rho_ram,realized_rho,arrival_rate,observation_horizon,duration_min,duration_max,submitted,feasible_jobs,permanently_infeasible,started_by_horizon,completed_by_horizon,running_at_horizon,queued_at_horizon,admission_ratio_horizon,completion_ratio_horizon,throughput_horizon,mean_wait_time,p95_wait_time,mean_turnaround_time,p95_turnaround_time,mean_slowdown,p95_slowdown,time_weighted_cpu_utilization,time_weighted_ram_utilization,time_weighted_queue_length,time_weighted_active_nodes,horizon_active_nodes,horizon_cpu_utilization,horizon_ram_utilization,horizon_free_imbalance,makespan,drained_throughput,params
test,cpu_heavy,homog,low,binpack,1000,0.7,0.7116290962448847,0.14974895288584533,0.7116290962448847,10.897297297297298,50.0,8.0,12.0,559,559,0,559,454,105,0,1.0,0.8121645796064401,9.08,0.0,0.0,9.905120030981312,11.683265819784232,1.0,1.0000000000000004,0.6446596126350711,0.13430315312860863,0.0,22.24701634216821,24,0.6635416666666667,0.14875000000000002,0.5147916666666666,60.401814086520176,9.254688927045844,{}
test,cpu_heavy,homog,low,spread,1000,0.7,0.7116290962448847,0.14974895288584533,0.7116290962448847,10.897297297297298,50.0,8.0,12.0,559,559,0,559,454,105,0,1.0,0.8121645796064401,9.08,0.0,0.0,9.905120030981312,11.683265819784232,1.0,1.0000000000000004,0.6446596126350711,0.13430315312860863,0.0,28.98916043092325,30,0.6635416666666667,0.14875000000000002,0.5147916666666666,60.401814086520176,9.254688927045844,{}
test,cpu_heavy,homog,low,tetris,1000,0.7,0.7116290962448847,0.14974895288584533,0.7116290962448847,10.897297297297298,50.0,8.0,12.0,559,559,0,559,454,105,0,1.0,0.8121645796064401,9.08,0.00035064705658421555,0.0,9.905470678037895,11.683265819784232,1.0000369337243031,1.0000000000000004,0.6446596126350711,0.1343031531286086,0.003920234092611529,28.98916043092325,30,0.6635416666666667,0.14875000000000002,0.5147916666666666,60.401814086520176,9.254688927045844,{}
test,cpu_heavy,homog,low,hybrid,1000,0.7,0.7116290962448847,0.14974895288584533,0.7116290962448847,10.897297297297298,50.0,8.0,12.0,559,559,0,559,454,105,0,1.0,0.8121645796064401,9.08,0.0,0.0,9.905120030981312,11.683265819784232,1.0,1.0000000000000004,0.6446596126350711,0.13430315312860863,0.0,28.854126202428915,30,0.6635416666666667,0.14875000000000002,0.5147916666666666,60.401814086520176,9.254688927045844,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,cpu_heavy,homog,low,binpack,1001,0.7,0.7122326420267404,0.14983096669109244,0.7122326420267404,10.897297297297298,50.0,8.0,12.0,549,549,0,549,425,124,0,1.0,0.7741347905282332,8.5,0.0,0.0,10.060275192212908,11.818879710855459,1.0,1.0000000000000004,0.6342781481343241,0.13212877727732894,0.0,21.62050946718919,27,0.7777777777777778,0.17604166666666668,0.601736111111111,60.594842673352304,9.060177001522819,{}
test,cpu_heavy,homog,low,spread,1001,0.7,0.7122326420267404,0.14983096669109244,0.7122326420267404,10.897297297297298,50.0,8.0,12.0,549,549,0,549,425,124,0,1.0,0.7741347905282332,8.5,0.0,0.0,10.060275192212908,11.818879710855459,1.0,1.0000000000000004,0.6342781481343241,0.13212877727732894,0.0,29.21348298553689,30,0.7777777777777778,0.17604166666666668,0.601736111111111,60.594842673352304,9.060177001522819,{}
test,cpu_heavy,homog,low,tetris,1001,0.7,0.7122326420267404,0.14983096669109244,0.7122326420267404,10.897297297297298,50.0,8.0,12.0,549,549,0,549,425,124,0,1.0,0.7741347905282332,8.5,0.0026293182245935064,0.0,10.0629045104375,11.818879710855459,1.000282851309387,1.0000000000000004,0.633970105396772,0.13208257086669606,0.028869914106036704,29.21348298553689,30,0.7777777777777778,0.17604166666666668,0.601736111111111,60.594842673352304,9.060177001522819,{}
test,cpu_heavy,homog,low,hybrid,1001,0.7,0.7122326420267404,0.14983096669109244,0.7122326420267404,10.897297297297298,50.0,8.0,12.0,549,549,0,549,425,124,0,1.0,0.7741347905282332,8.5,0.003159597587445736,0.0,10.063434789800352,11.818879710855459,1.0003385082263418,1.0000000000000004,0.6339054113145042,0.1320728667543559,0.03469238151015418,28.873255907557972,30,0.7777777777777778,0.17604166666666668,0.601736111111111,60.594842673352304,9.060177001522819,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,cpu_heavy,homog,low,binpack,1002,0.7,0.6902159406879231,0.14604251520673273,0.6902159406879231,10.897297297297298,50.0,8.0,12.0,540,540,0,540,433,107,0,1.0,0.8018518518518518,8.66,0.0,0.0,9.972785081303824,11.786084086640201,1.0,1.0000000000000004,0.6186060611701721,0.1316625243031575,0.0,21.14184325724129,22,0.6690972222222222,0.13708333333333333,0.5320138888888889,61.32663553716771,8.80530939403527,{}
test,cpu_heavy,homog,low,spread,1002,0.7,0.6902159406879231,0.14604251520673273,0.6902159406879231,10.897297297297298,50.0,8.0,12.0,540,540,0,540,433,107,0,1.0,0.8018518518518518,8.66,0.0010603639986534903,0.0,9.973845445302477,11.786084086640201,1.0001035306894825,1.0000000000000004,0.618606061170172,0.13166252430315747,0.011451931185457696,29.27980003186581,30,0.6690972222222222,0.13708333333333333,0.5320138888888889,61.32663553716771,8.80530939403527,{}
