split,family,cluster_config,load,policy,seed,target_rho,realized_rho_cpu,realized_rho_ram,realized_rho,arrival_rate,observation_horizon,duration_min,duration_max,submitted,feasible_jobs,permanently_infeasible,started_by_horizon,completed_by_horizon,running_at_horizon,queued_at_horizon,admission_ratio_horizon,completion_ratio_horizon,throughput_horizon,mean_wait_time,p95_wait_time,mean_turnaround_time,p95_turnaround_time,mean_slowdown,p95_slowdown,time_weighted_cpu_utilization,time_weighted_ram_utilization,time_weighted_queue_length,time_weighted_active_nodes,horizon_active_nodes,horizon_cpu_utilization,horizon_ram_utilization,horizon_free_imbalance,makespan,drained_throughput,params
test,ram_heavy,homog,low,binpack,1000,0.7,0.41731343763061146,0.7156385304031176,0.7156385304031176,18.16216216216216,50.0,8.0,12.0,933,933,0,933,755,178,0,1.0,0.8092175777063236,15.1,0.0,0.0,9.951157900955277,11.769708343653598,1.0,1.0000000000000002,0.3743744471904751,0.6422247859434336,0.0,21.462379604522166,24,0.38819444444444445,0.6722916666666666,0.2840972222222222,61.675278843416855,15.12761705332099,{}
test,ram_heavy,homog,low,spread,1000,0.7,0.41731343763061146,0.7156385304031176,0.7156385304031176,18.16216216216216,50.0,8.0,12.0,933,933,0,933,755,178,0,1.0,0.8092175777063236,15.1,0.0,0.0,9.951157900955277,11.769708343653598,1.0,1.0000000000000002,0.3743744471904751,0.6422247859434336,0.0,29.393496258553995,30,0.38819444444444445,0.6722916666666666,0.3236805555555556,61.675278843416855,15.12761705332099,{}
test,ram_heavy,homog,low,tetris,1000,0.7,0.41731343763061146,0.7156385304031176,0.7156385304031176,18.16216216216216,50.0,8.0,12.0,933,933,0,933,755,178,0,1.0,0.8092175777063236,15.1,0.0,0.0,9.951157900955277,11.769708343653598,1.0,1.0000000000000002,0.3743744471904751,0.6422247859434336,0.0,29.27344837235556,30,0.38819444444444445,0.6722916666666666,0.2840972222222222,61.675278843416855,15.12761705332099,{}
test,ram_heavy,homog,low,hybrid,1000,0.7,0.41731343763061146,0.7156385304031176,0.7156385304031176,18.16216216216216,50.0,8.0,12.0,933,933,0,933,755,178,0,1.0,0.8092175777063236,15.1,0.0,0.0,9.951157900955277,11.769708343653598,1.0,1.0000000000000002,0.3743744471904751,0.6422247859434336,0.0,28.512133768639195,30,0.38819444444444445,0.6722916666666666,0.2854861111111111,61.675278843416855,15.12761705332099,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,ram_heavy,homog,low,binpack,1001,0.7,0.40846233444297275,0.6981670812484924,0.6981670812484924,18.16216216216216,50.0,8.0,12.0,906,906,0,906,728,178,0,1.0,0.8035320088300221,14.56,0.0,0.0,9.991686860758616,11.779019480726383,1.0,1.0000000000000004,0.3685050910663734,0.6277920133134238,0.0,21.155232818225873,22,0.39913194444444444,0.6876041666666667,0.28847222222222224,61.322852450857894,14.77426381504413,{}
test,ram_heavy,homog,low,spread,1001,0.7,0.40846233444297275,0.6981670812484924,0.6981670812484924,18.16216216216216,50.0,8.0,12.0,906,906,0,906,728,178,0,1.0,0.8035320088300221,14.56,0.0,0.0,9.991686860758616,11.779019480726383,1.0,1.0000000000000004,0.3685050910663734,0.6277920133134238,0.0,29.52808979132214,30,0.39913194444444444,0.6876041666666667,0.30666666666666664,61.322852450857894,14.77426381504413,{}
test,ram_heavy,homog,low,tetris,1001,0.7,0.40846233444297275,0.6981670812484924,0.6981670812484924,18.16216216216216,50.0,8.0,12.0,906,906,0,906,728,178,0,1.0,0.8035320088300221,14.56,0.0,0.0,9.991686860758616,11.779019480726383,1.0,1.0000000000000004,0.3685050910663734,0.6277920133134238,0.0,29.253142116983568,30,0.39913194444444444,0.6876041666666667,0.2884722222222222,61.322852450857894,14.77426381504413,{}
test,ram_heavy,homog,low,hybrid,1001,0.7,0.40846233444297275,0.6981670812484924,0.6981670812484924,18.16216216216216,50.0,8.0,12.0,906,906,0,906,728,178,0,1.0,0.8035320088300221,14.56,0.0,0.0,9.991686860758616,11.779019480726383,1.0,1.0000000000000004,0.3685050910663734,0.6277920133134238,0.0,28.245255335278156,30,0.39913194444444444,0.6876041666666667,0.28847222222222224,61.322852450857894,14.77426381504413,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,ram_heavy,homog,low,binpack,1002,0.7,0.40546332217015046,0.6901420918649721,0.6901420918649721,18.16216216216216,50.0,8.0,12.0,898,898,0,898,713,185,0,1.0,0.7939866369710468,14.26,0.0,0.0,9.96497887953012,11.794645595876796,1.0,1.0000000000000004,0.36626713869051924,0.6208647063233078,0.0,20.584206441672023,25,0.4154513888888889,0.7298958333333334,0.31444444444444447,61.36692098819273,14.633290794771652,{}
test,ram_heavy,homog,low,spread,1002,0.7,0.40546332217015046,0.6901420918649721,0.6901420918649721,18.16216216216216,50.0,8.0,12.0,898,898,0,898,713,185,0,1.0,0.7939866369710468,14.26,0.0,0.0,9.96497887953012,11.794645595876796,1.0,1.0000000000000004,0.36626713869051924,0.6208647063233078,0.0,29.568375496006333,30,0.4154513888888889,0.7298958333333334,0.32,61.36692098819273,14.633290794771652,{}
